LST_MAM_median_C,valid_obs,LST_MAM_SD_C,ST_QA_median_K,NDVI_MAM_median,NDBI_MAM_median,NDMI_MAM_median,BSI_MAM_median,GHSL_built_local_fraction,WorldCover_2021,elevation_m,slope_deg,northness,eastness,distance_to_coast_m,distance_to_permanent_water_m,x_utm,y_utm,row,col,longitude,latitude,block1km_x,block1km_y,block1km_id,block2km_x,block2km_y,block2km_id,block3km_x,block3km_y,block3km_id,block5km_x,block5km_y,block5km_id,municipality
31.792336,43.0,5.242126,5.0710206,0.8384241,-0.41668344,0.41668344,-0.36083615,0.0,30.0,10.0,1.0,-0.70710677,-0.70710677,60.0,10.0,281115.0,673305.0,15,555,121.02224097922216,6.087746217979328,281,673,281_673,140,336,140_336,93,224,93_224,56,134,56_134,Patikul
32.02974,45.0,5.0906057,5.687853,0.7667936,-0.35006908,0.35006908,-0.27889192,0.0,10.0,20.0,4.0,0.2419219,-0.9702957,120.0,30.0,281415.0,673305.0,15,565,121.02495056800392,6.087756144050566,281,673,281_673,140,336,140_336,93,224,93_224,56,134,56_134,Patikul
31.970383,44.0,5.287408,5.1514854,0.828024,-0.37289834,0.37289834,-0.3134729,0.0,10.0,26.0,3.0,0.94551855,-0.32556817,192.09373,56.568542,281715.0,673305.0,15,575,121.02766016128345,6.087766056534824,281,673,281_673,140,336,140_336,93,224,93_224,56,134,56_134,Patikul
32.234283,44.0,4.9911766,4.651102,0.8363874,-0.3899729,0.3899729,-0.3350548,0.0,10.0,28.0,4.0,0.9702957,0.2419219,180.0,60.0,282015.0,673305.0,15,585,121.03036975905452,6.08777595543199,282,673,282_673,141,336,141_336,94,224,94_224,56,134,56_134,Patikul
31.71356,44.0,4.6406064,6.2295775,0.80229056,-0.38632277,0.38632277,-0.31579682,0.0,10.0,15.0,6.0,0.309017,-0.95105654,84.85281,20.0,284415.0,673305.0,15,665,121.05204670218038,6.087854657460845,284,673,284_673,142,336,142_336,94,224,94_224,56,134,56_134,Patikul
31.755854,48.0,5.305671,5.6588492,0.78578883,-0.33781433,0.33781433,-0.2769952,0.0,10.0,13.0,3.0,0.5591929,-0.82903755,180.0,50.990196,284715.0,673305.0,15,675,121.05475634009836,6.087864434069247,284,673,284_673,142,336,142_336,94,224,94_224,56,134,56_134,Patikul
31.795609,48.0,5.2368484,4.976648,0.8652654,-0.451314,0.451314,-0.39861438,0.0,10.0,12.0,4.0,-0.43837115,-0.89879405,174.92856,50.0,285015.0,673305.0,15,685,121.0574659824463,6.087874197089461,285,673,285_673,142,336,142_336,95,224,95_224,57,134,57_134,Patikul
33.751595,48.0,5.6634684,4.4631658,0.82347065,-0.3873818,0.3873818,-0.31999126,0.0,10.0,20.0,3.0,0.5591929,-0.82903755,174.92856,58.30952,285315.0,673305.0,15,695,121.06017562921805,6.087883946521382,285,673,285_673,142,336,142_336,95,224,95_224,57,134,57_134,Patikul
31.854794,47.0,5.3439813,4.6491213,0.7805818,-0.32505223,0.32505223,-0.25985706,0.0,10.0,18.0,4.0,-0.9702957,-0.2419219,84.85281,22.36068,285615.0,673305.0,15,705,121.06288528040743,6.087893682364897,285,673,285_673,142,336,142_336,95,224,95_224,57,134,57_134,Patikul
35.126663,42.0,4.67549,4.2000504,0.7876263,-0.3273963,0.3273963,-0.25945157,0.0,10.0,15.0,8.0,0.9945219,-0.104528464,90.0,20.0,289815.0,673305.0,15,845,121.1008208574607,6.088028557331139,289,673,289_673,144,336,144_336,96,224,96_224,57,134,57_134,Patikul
35.177185,43.0,4.5311413,4.386208,0.7777611,-0.3074751,0.3074751,-0.23583104,0.42,10.0,9.0,8.0,0.809017,0.58778524,123.69317,31.622776,290115.0,673305.0,15,855,121.10353057417535,6.088038089335651,290,673,290_673,145,336,145_336,96,224,96_224,58,134,58_134,Patikul
37.96004,49.0,5.167969,4.424227,0.72708255,-0.30577984,0.30577984,-0.21576399,0.0,10.0,5.0,5.0,0.98162717,-0.190809,152.97058,50.0,290415.0,673305.0,15,865,121.10624029520902,6.088047607750041,290,673,290_673,145,336,145_336,96,224,96_224,58,134,58_134,Patikul
35.854237,48.0,5.324461,4.335298,0.7268558,-0.29620168,0.29620168,-0.2128226,0.0,10.0,15.0,3.0,0.70710677,-0.70710677,256.3201,76.15773,290715.0,673305.0,15,875,121.10895002055561,6.0880571125742025,290,673,290_673,145,336,145_336,96,224,96_224,58,134,58_134,Patikul
33.84156,48.0,5.2363863,4.6049523,0.7145026,-0.2644477,0.2644477,-0.18991436,0.0,10.0,15.0,4.0,0.9702957,-0.2419219,268.32816,80.622574,291015.0,673305.0,15,885,121.11165975020893,6.088066603808028,291,673,291_673,145,336,145_336,97,224,97_224,58,134,58_134,Patikul
33.78465,48.0,5.040793,5.31084,0.8419368,-0.40538922,0.40538922,-0.3497456,0.0,10.0,22.0,3.0,1.0,0.0,270.0,80.0,291315.0,673305.0,15,895,121.11436948416281,6.088076081451415,291,673,291_673,145,336,145_336,97,224,97_224,58,134,58_134,Patikul
32.964546,48.0,5.3217845,5.433024,0.7924968,-0.32728806,0.32728806,-0.25977147,0.0,10.0,20.0,1.0,1.0,0.0,240.0,70.71068,291615.0,673305.0,15,905,121.1170792224111,6.088085545504257,291,673,291_673,145,336,145_336,97,224,97_224,58,134,58_134,Patikul
33.975307,47.0,5.156413,5.286981,0.77839446,-0.3434313,0.3434313,-0.27262595,0.0,10.0,20.0,2.0,-1.8369701e-16,-1.0,270.0,82.46211,291915.0,673305.0,15,915,121.11978896494765,6.088094995966447,291,673,291_673,145,336,145_336,97,224,97_224,58,134,58_134,Patikul
35.125053,45.0,5.670985,5.554208,0.80683994,-0.3612244,0.3612244,-0.30281484,0.0,10.0,16.0,2.0,0.43837115,-0.89879405,150.0,44.72136,292215.0,673305.0,15,925,121.12249871176628,6.088104432837882,292,673,292_673,146,336,146_336,97,224,97_224,58,134,58_134,Patikul
31.58855,45.0,5.723448,4.788472,0.8893243,-0.4886098,0.4886098,-0.4398717,0.0,10.0,17.0,2.0,0.8910065,-0.4539905,169.70563,44.72136,280515.0,673005.0,25,535,121.01683176313763,6.08501407359727,280,673,280_673,140,336,140_336,93,224,93_224,56,134,56_134,Patikul
31.013483,41.0,5.941545,4.5327034,0.85568255,-0.42160317,0.42160317,-0.37130585,0.0,10.0,13.0,8.0,0.97437006,-0.22495106,276.58633,80.622574,280815.0,673005.0,25,545,121.01954132933541,6.0850240223754914,280,673,280_673,140,336,140_336,93,224,93_224,56,134,56_134,Patikul
