x_utm,y_utm,municipality,WorldCover_2021,elevation_m,slope_deg,northness,eastness,distance_to_coast_m,block1km_id,block2km_id,block3km_id,block5km_id,MAM_LST_C,MAM_valid_obs,MAM_NDVI,MAM_NDBI,MAM_BSI,JJA_LST_C,JJA_valid_obs,JJA_NDVI,JJA_NDBI,JJA_BSI,DJF_LST_C,DJF_valid_obs,DJF_NDVI,DJF_NDBI,DJF_BSI,GHSL_built_fraction_30m_corrected
281115.0,673305.0,Patikul,30.0,10.0,1.0,-0.70710677,-0.70710677,60.0,281_673,140_336,93_224,56_134,31.92192,42.0,0.8384241,-0.41668344,-0.36083615,32.820858,32.0,0.8672061,-0.4600965,-0.40726808,31.5767,38.0,0.8652774,-0.45858532,-0.40674666,0.0
281415.0,673305.0,Patikul,10.0,20.0,4.0,0.2419219,-0.9702957,120.0,281_673,140_336,93_224,56_134,31.964645,45.0,0.7667936,-0.35006908,-0.27889192,32.046677,33.0,0.83223224,-0.414793,-0.3554386,30.86746,39.0,0.8255076,-0.43306652,-0.3617483,0.0
281715.0,673305.0,Patikul,10.0,26.0,3.0,0.94551855,-0.32556817,192.09373,281_673,140_336,93_224,56_134,31.993698,44.0,0.828024,-0.37289834,-0.3134729,31.616007,32.0,0.8593967,-0.44294962,-0.39119986,30.614527,39.0,0.8584189,-0.44290614,-0.3904054,0.0
282015.0,673305.0,Patikul,10.0,28.0,4.0,0.9702957,0.2419219,180.0,282_673,141_336,94_224,56_134,32.226124,44.0,0.8363874,-0.3899729,-0.3350548,31.409218,30.0,0.87395173,-0.44171298,-0.39656886,30.614527,41.0,0.8648682,-0.43141532,-0.38652372,0.0
284415.0,673305.0,Patikul,10.0,15.0,6.0,0.309017,-0.95105654,84.85281,284_673,142_336,94_224,56_134,32.063766,45.0,0.80229056,-0.38632277,-0.31579682,32.5064,30.0,0.82271034,-0.42030305,-0.35370713,30.693142,40.0,0.8248516,-0.45227283,-0.37228823,0.0
284715.0,673305.0,Patikul,10.0,13.0,3.0,0.5591929,-0.82903755,180.0,284_673,142_336,94_224,56_134,31.600626,48.0,0.78578883,-0.33781433,-0.2769952,31.978317,33.0,0.8475422,-0.41881847,-0.3606247,30.6094,40.0,0.8484004,-0.42416623,-0.37106296,0.0
285015.0,673305.0,Patikul,10.0,12.0,4.0,-0.43837115,-0.89879405,174.92856,285_673,142_336,95_224,57_134,31.933884,48.0,0.8652654,-0.451314,-0.39861438,31.935593,32.0,0.87608653,-0.46673584,-0.42341185,30.26589,41.0,0.8869221,-0.48394728,-0.43380252,0.0
285315.0,673305.0,Patikul,10.0,20.0,3.0,0.5591929,-0.82903755,174.92856,285_673,142_336,95_224,57_134,33.483955,48.0,0.82347065,-0.3873818,-0.31999126,32.326954,33.0,0.8637386,-0.45505446,-0.40449288,31.398964,42.0,0.84859115,-0.42816827,-0.3755213,0.0
285615.0,673305.0,Patikul,10.0,18.0,4.0,-0.9702957,-0.2419219,84.85281,285_673,142_336,95_224,57_134,31.821089,47.0,0.7805818,-0.32505223,-0.25985706,32.73028,34.0,0.84790426,-0.41837677,-0.35527444,31.178501,39.0,0.825114,-0.37675738,-0.31509003,0.0
289815.0,673305.0,Patikul,10.0,15.0,8.0,0.9945219,-0.104528464,90.0,289_673,144_336,96_224,57_134,34.82211,42.0,0.7876263,-0.3273963,-0.25945157,34.52645,30.0,0.85802144,-0.43896315,-0.38303527,32.521782,37.0,0.8664161,-0.45786107,-0.39996013,0.0
290115.0,673305.0,Patikul,10.0,9.0,8.0,0.809017,0.58778524,123.69317,290_673,145_336,96_224,58_134,35.225437,43.0,0.7777611,-0.3074751,-0.23583104,34.81869,31.0,0.8286881,-0.3958757,-0.32856208,33.277164,37.0,0.84145874,-0.39849582,-0.3456016,0.2199999988079071
290415.0,673305.0,Patikul,10.0,5.0,5.0,0.98162717,-0.190809,152.97058,290_673,145_336,96_224,58_134,37.317265,49.0,0.72708255,-0.30577984,-0.21576399,36.51574,30.0,0.7951001,-0.37402943,-0.3045902,34.603355,41.0,0.782481,-0.3437705,-0.27733538,0.0
290715.0,673305.0,Patikul,10.0,15.0,3.0,0.70710677,-0.70710677,256.3201,290_673,145_336,96_224,58_134,35.39463,48.0,0.7268558,-0.29620168,-0.2128226,35.15537,30.0,0.83871645,-0.43345594,-0.37155324,32.603817,44.0,0.8081619,-0.39267385,-0.32175627,0.0
291015.0,673305.0,Patikul,10.0,15.0,4.0,0.9702957,-0.2419219,268.32816,291_673,145_336,97_224,58_134,33.85481,48.0,0.7145026,-0.2644477,-0.18991436,33.68562,30.0,0.833512,-0.3919275,-0.3392642,31.451942,43.0,0.8297376,-0.3915704,-0.33390674,0.0
291315.0,673305.0,Patikul,10.0,22.0,3.0,1.0,0.0,270.0,291_673,145_336,97_224,58_134,33.728344,48.0,0.8419368,-0.40538922,-0.3497456,33.755688,27.0,0.877885,-0.47112262,-0.41901034,31.21268,45.0,0.8733079,-0.4928664,-0.43630075,0.0
291615.0,673305.0,Patikul,10.0,20.0,1.0,1.0,0.0,240.0,291_673,145_336,97_224,58_134,33.005432,48.0,0.7924968,-0.32728806,-0.25977147,33.3028,26.0,0.8774719,-0.43970415,-0.40022138,30.703396,48.0,0.8517256,-0.4233431,-0.3745545,0.0
291915.0,673305.0,Patikul,10.0,20.0,2.0,-1.8369701000000003e-16,-1.0,270.0,291_673,145_336,97_224,58_134,34.0428,47.0,0.77839446,-0.3434313,-0.27262595,33.598457,23.0,0.8392328,-0.41487134,-0.3646317,31.424599,46.0,0.84761304,-0.4481536,-0.38611344,0.0
292215.0,673305.0,Patikul,10.0,16.0,2.0,0.43837115,-0.89879405,150.0,292_673,146_336,97_224,58_134,34.969086,45.0,0.80683994,-0.3612244,-0.30281484,33.63606,26.0,0.85186476,-0.42850453,-0.37587544,32.108204,47.0,0.86263216,-0.4293109,-0.38366672,0.0
280515.0,673005.0,Patikul,10.0,17.0,2.0,0.8910065,-0.4539905,169.70563,280_673,140_336,93_224,56_134,31.366491,45.0,0.8893243,-0.4886098,-0.4398717,32.771297,33.0,0.90342563,-0.5072503,-0.46222657,30.864042,38.0,0.9024644,-0.5227768,-0.47878283,0.0
280815.0,673005.0,Patikul,10.0,13.0,8.0,0.97437006,-0.22495106,276.58633,280_673,140_336,93_224,56_134,31.21268,41.0,0.85568255,-0.42160317,-0.37130585,32.337208,31.0,0.88974047,-0.45902455,-0.41906953,30.891388,39.0,0.88,-0.46104476,-0.4147732,0.0
281115.0,673005.0,Patikul,10.0,29.0,4.0,0.70710677,-0.70710677,342.0526,281_673,140_336,93_224,56_134,31.349401,40.0,0.83605325,-0.38734397,-0.33797446,32.385063,32.0,0.8867223,-0.428298,-0.38771158,30.901642,39.0,0.8685208,-0.4072509,-0.3567593,0.0
281415.0,673005.0,Patikul,10.0,23.0,4.0,0.8910065,0.4539905,379.47333,281_673,140_336,93_224,56_134,30.898224,43.0,0.8179406,-0.38940766,-0.33484554,32.003952,32.0,0.84867305,-0.43433067,-0.3773484,30.776884,40.0,0.85106415,-0.43950018,-0.38610595,0.0
281715.0,673005.0,Patikul,10.0,30.0,6.0,0.6293204,-0.777146,465.72525,281_673,140_336,93_224,56_134,32.142384,42.0,0.8202572,-0.37825236,-0.32108,31.123812,31.0,0.853737,-0.43791053,-0.38908887,30.633327,40.0,0.85101956,-0.4250408,-0.3767589,0.0
282015.0,673005.0,Patikul,10.0,36.0,3.0,0.309017,0.95105654,445.98206,282_673,141_336,94_224,56_134,31.551065,45.0,0.84099966,-0.36666834,-0.3213086,31.281042,29.0,0.86993396,-0.39983043,-0.35728475,30.132587,41.0,0.8553388,-0.39713943,-0.3481587,0.0
282315.0,673005.0,Patikul,10.0,41.0,3.0,0.94551855,0.32556817,305.94116,282_673,141_336,94_224,56_134,31.106722,43.0,0.8440621,-0.4094504,-0.35816523,31.701458,30.0,0.8658692,-0.46182862,-0.40809146,30.55984,41.0,0.87343514,-0.46726623,-0.4211996,0.0
282615.0,673005.0,Patikul,10.0,34.0,4.0,0.8910065,-0.4539905,228.47319,282_673,141_336,94_224,56_134,31.410927,43.0,0.8218471,-0.32205108,-0.26748142,31.079378,33.0,0.8746807,-0.3987807,-0.36423767,30.33425,41.0,0.84287125,-0.36085144,-0.3111339,0.0
282915.0,673005.0,Patikul,10.0,17.0,7.0,0.70710677,0.70710677,150.0,282_673,141_336,94_224,56_134,32.42437,42.0,0.8619467,-0.43408945,-0.38289955,32.962708,29.0,0.8901098,-0.48358643,-0.4440311,31.477577,36.0,0.8909499,-0.48794773,-0.44759336,0.0
283215.0,673005.0,Patikul,30.0,16.0,3.0,-0.309017,0.95105654,108.16654,283_673,141_336,94_224,56_134,34.222248,40.0,0.7340741,-0.26388404,-0.1745145,33.764233,28.0,0.80596125,-0.3483058,-0.28696388,32.193653,35.0,0.7752497,-0.3279557,-0.253791,0.0
283515.0,673005.0,Patikul,10.0,9.0,0.0,1.0,0.0,90.0,283_673,141_336,94_224,56_134,32.144093,42.0,0.83549136,-0.40550643,-0.34703985,33.195133,29.0,0.86818385,-0.46467558,-0.4136067,31.33402,38.0,0.8719208,-0.46380776,-0.40911773,0.07000000029802322
283815.0,673005.0,Patikul,10.0,18.0,2.0,-1.8369701000000003e-16,-1.0,174.92856,283_673,141_336,94_224,56_134,34.726406,43.0,0.6496435,-0.23756304,-0.145201,33.948807,32.0,0.7307959,-0.31885567,-0.23699513,32.34063,41.0,0.73940176,-0.30601275,-0.23592493,0.17999999225139618
284115.0,673005.0,Patikul,10.0,15.0,4.0,0.9702957,-0.2419219,247.38634,284_673,142_336,94_224,56_134,33.295963,48.0,0.7518876,-0.31152067,-0.2354392,33.04132,30.0,0.8114741,-0.3902176,-0.32504785,31.862104,40.0,0.8174323,-0.4001714,-0.32936996,0.0
284415.0,673005.0,Patikul,10.0,18.0,3.0,0.94551855,-0.32556817,349.85712,284_673,142_336,94_224,56_134,31.962936,50.0,0.79397655,-0.36397532,-0.29593042,32.812313,31.0,0.8505798,-0.45252204,-0.39387268,31.09305,40.0,0.8481715,-0.43327224,-0.3790641,0.0
284715.0,673005.0,Patikul,10.0,28.0,1.0,-1.0,1.2246469000000002e-16,456.94638,284_673,142_336,94_224,56_134,31.40409,46.0,0.8461851,-0.43875313,-0.38441318,31.949265,34.0,0.8702767,-0.4832628,-0.42309177,30.2112,41.0,0.8686761,-0.47734097,-0.41784248,0.0
285015.0,673005.0,Patikul,10.0,25.0,3.0,6.123234000000001e-17,1.0,458.91174,285_673,142_336,95_224,57_134,31.178501,46.0,0.8339825,-0.33639783,-0.287633,31.43998,36.0,0.88069534,-0.41209266,-0.37622446,30.641872,41.0,0.86658514,-0.37635097,-0.34023607,0.0
285315.0,673005.0,Patikul,10.0,17.0,3.0,-1.0,1.2246469000000002e-16,458.91174,285_673,142_336,95_224,57_134,32.186817,47.0,0.81465715,-0.361043,-0.30473834,32.431206,36.0,0.86438,-0.4315583,-0.38406426,31.50663,41.0,0.85463446,-0.4140468,-0.3656482,0.009999999776482582
285615.0,673005.0,Patikul,10.0,21.0,4.0,0.43837115,-0.89879405,335.4102,285_673,142_336,95_224,57_134,32.203907,46.0,0.8130499,-0.38846165,-0.32219756,32.514946,33.0,0.8474361,-0.4498278,-0.3931358,31.096468,42.0,0.8530812,-0.44328257,-0.3841112,0.009999999776482582
285915.0,673005.0,Patikul,10.0,15.0,1.0,-1.0,1.2246469000000002e-16,174.92856,285_673,142_336,95_224,57_134,30.749538,46.0,0.8714881,-0.46998832,-0.4125665,32.59014,30.0,0.88803446,-0.502609,-0.4494839,30.792265,41.0,0.8892778,-0.51540905,-0.4627649,0.0
286215.0,673005.0,Patikul,30.0,8.0,3.0,-1.0,1.2246469000000002e-16,90.0,286_673,143_336,95_224,57_134,35.714214,42.0,0.5215573,-0.107497595,-0.023980865,36.003036,30.0,0.6331551,-0.2014647,-0.11337484,34.374348,36.0,0.6087703,-0.18877913,-0.09918291,0.0
286515.0,673005.0,Patikul,10.0,9.0,4.0,-1.0,1.2246469000000002e-16,161.55495,286_673,143_336,95_224,57_134,34.777676,45.0,0.6173829,-0.16488722,-0.079411194,35.122894,33.0,0.6174998,0.051627316,0.04515739,34.16585,38.0,0.6414207,-0.18652783,-0.08079488,0.03999999910593033
286815.0,673005.0,Patikul,10.0,14.0,4.0,-0.43837115,-0.89879405,134.16408,286_673,143_336,95_224,57_134,32.44317,45.0,0.86356336,-0.4987726,-0.4394921,32.822567,34.0,0.8886001,-0.523133,-0.47136813,31.00418,41.0,0.88497376,-0.53166145,-0.48019823,0.0
287115.0,673005.0,Patikul,10.0,7.0,4.0,0.9702957,0.2419219,134.16408,287_673,143_336,95_224,57_134,32.65167,47.0,0.80113786,-0.37727344,-0.30010998,33.519844,34.0,0.84268165,-0.42011204,-0.3566943,31.328894,40.0,0.8221202,-0.4020479,-0.34638244,0.0
287415.0,673005.0,Patikul,10.0,9.0,3.0,0.5591929,-0.82903755,152.97058,287_673,143_336,95_224,57_134,33.326725,50.0,0.7596298,-0.29826728,-0.22766225,33.67024,36.0,0.85194516,-0.39194927,-0.34384164,32.311573,40.0,0.80782384,-0.3544275,-0.27496108,0.0
287715.0,673005.0,Patikul,10.0,7.0,2.0,1.0,0.0,90.0,287_673,143_336,95_224,57_134,33.42414,43.0,0.81571317,-0.4246469,-0.35082337,33.75056,34.0,0.84162176,-0.4478921,-0.38329837,32.59185,36.0,0.819658,-0.42828238,-0.36052564,0.009999999776482582
288015.0,673005.0,Patikul,10.0,7.0,2.0,0.43837115,-0.89879405,60.0,288_673,144_336,96_224,57_134,34.261555,40.0,0.82922435,-0.4686754,-0.3850923,34.56063,36.0,0.8661175,-0.51504016,-0.43809876,33.724926,35.0,0.8374686,-0.48836297,-0.40767553,0.12000000476837158
288315.0,673005.0,Patikul,10.0,13.0,6.0,0.777146,-0.6293204,67.08204,288_673,144_336,96_224,57_134,32.173145,41.0,0.7159959,-0.3210634,-0.23274732,32.863586,35.0,0.77319854,-0.384049,-0.31536683,31.469032,34.0,0.76131976,-0.3802021,-0.29974797,0.05000000074505806
288615.0,673005.0,Patikul,10.0,14.0,3.0,0.5591929,-0.82903755,108.16654,288_673,144_336,96_224,57_134,33.454903,42.0,0.6336758,-0.2654454,-0.16391659,34.239338,34.0,0.702301,-0.3287403,-0.23016696,32.029587,36.0,0.71272445,-0.31530672,-0.22804782,0.009999999776482582
288915.0,673005.0,Patikul,10.0,15.0,4.0,0.8910065,0.4539905,180.0,288_673,144_336,96_224,57_134,32.091114,45.0,0.8330671,-0.43026224,-0.36452535,33.154118,33.0,0.87415624,-0.46889114,-0.41484544,31.42118,39.0,0.86719334,-0.47312516,-0.41169265,0.0
