municipality,n,R2,RMSE,MAE
Patikul,1495,0.7735799947279536,1.4101394668721567,1.1328325604557388
Talipao,1865,0.6670504240311965,1.0524287406083186,0.8194644920783264
Kalingalan Caluang,640,0.45710192747731526,1.2518978527449407,1.0430207211926938
Old Panamao,572,0.4517845813347632,0.9871279294629759,0.7819443525175516
Panglima Estino,359,0.4361420217051021,1.0975329434044454,0.8460025503434854
Luuk,860,0.42438266431025273,1.075320336539053,0.8481282949062604
Indanan,1123,0.4193359282970527,1.3162639427392164,1.072156769979695
Maimbung,495,0.3731917845909143,1.3352981861991062,1.0638552314477239
Omar,615,0.37249096654527003,1.5124503208847009,0.9572507873026767
Parang,760,0.22026511860011866,1.8635339323026077,1.6004249999452687
Jolo,31,-0.45100038156161215,3.038322913055306,2.748776256616233
