Block_km,Model,n_groups,R2,RMSE,MAE
1,Linear,915,0.6898330684095104,1.2680351004958,0.9600457625010382
1,XGBoost,915,0.7184035905873254,1.2082229616765645,0.9283360892480669
1,LightGBM,915,0.7200820552037691,1.2046167536574999,0.9254634766180537
2,Linear,255,0.6855864372192941,1.276686201389894,0.9631416626624968
2,XGBoost,255,0.7051469558614516,1.2363354909545874,0.9502024256436276
2,LightGBM,255,0.7063667991698626,1.233775404368781,0.9473806932459994
3,Linear,126,0.6863327385530121,1.2751701111287035,0.9658717594516354
3,XGBoost,126,0.7049924850002007,1.2366593010788833,0.9552562330364945
3,LightGBM,126,0.7041767059926909,1.2383679765809485,0.9542953736340376
5,Linear,54,0.6731412432998877,1.3017080505073357,0.9866511929937867
5,XGBoost,54,0.6830855756305738,1.2817535585744302,0.986165508817902
5,LightGBM,54,0.6851916014297861,1.277487571478169,0.9850803002040434
