,NDVI_MAM_median,NDBI_MAM_median,NDMI_MAM_median,BSI_MAM_median,GHSL_built_local_fraction,elevation_m,slope_deg,northness,eastness,distance_to_coast_m,distance_to_permanent_water_m
NDVI_MAM_median,1.0,-0.8191823121852784,0.8191823121852784,-0.8726296431288428,-0.4218720021540156,0.3397876109667433,0.1729447026805073,0.0744889710165732,-0.06121384726954673,0.31502594897020825,0.3253763414286694
NDBI_MAM_median,-0.8191823121852784,1.0,-1.0,0.98757156926743,0.284043514845892,-0.2556346743180975,-0.10983766634585963,-0.07250591388053937,0.0835943332879539,-0.17763839258476555,-0.20260717419818264
NDMI_MAM_median,0.8191823121852784,-1.0,1.0,-0.98757156926743,-0.284043514845892,0.2556346743180975,0.10983766634585963,0.07250591388053937,-0.0835943332879539,0.17763839258476555,0.20260717419818264
BSI_MAM_median,-0.8726296431288428,0.98757156926743,-0.98757156926743,1.0,0.2879050970732144,-0.2939622092576,-0.1361982643485553,-0.08036121252600102,0.08693615330683675,-0.22072409698136636,-0.24439351127826137
GHSL_built_local_fraction,-0.4218720021540156,0.284043514845892,-0.284043514845892,0.2879050970732144,1.0,-0.09148360370449103,-0.06069770960469697,0.005599578866160459,-0.027251049921678167,-0.08787520172127869,-0.0893102783616276
elevation_m,0.3397876109667433,-0.2556346743180975,0.2556346743180975,-0.2939622092576,-0.09148360370449103,1.0,0.5244301212438186,-0.017075752250284116,0.0022769204983404483,0.5882879964872259,0.6329436273876593
slope_deg,0.1729447026805073,-0.10983766634585963,0.10983766634585963,-0.1361982643485553,-0.06069770960469697,0.5244301212438186,1.0,-0.005046433931249325,0.012277924197251457,0.15696408681842583,0.1763616767801681
northness,0.0744889710165732,-0.07250591388053937,0.07250591388053937,-0.08036121252600102,0.005599578866160459,-0.017075752250284116,-0.005046433931249325,1.0,-0.020983686473379823,-0.08147127665303554,-0.08855299149293386
eastness,-0.06121384726954673,0.0835943332879539,-0.0835943332879539,0.08693615330683675,-0.027251049921678167,0.0022769204983404483,0.012277924197251457,-0.020983686473379823,1.0,-0.016107365874440133,-0.016705452366937535
distance_to_coast_m,0.31502594897020825,-0.17763839258476555,0.17763839258476555,-0.22072409698136636,-0.08787520172127869,0.5882879964872259,0.15696408681842583,-0.08147127665303554,-0.016107365874440133,1.0,0.951614321740348
distance_to_permanent_water_m,0.3253763414286694,-0.20260717419818264,0.20260717419818264,-0.24439351127826137,-0.0893102783616276,0.6329436273876593,0.1763616767801681,-0.08855299149293386,-0.016705452366937535,0.951614321740348,1.0
