,NDVI_MAM_median,NDBI_MAM_median,NDMI_MAM_median,BSI_MAM_median,GHSL_built_local_fraction,elevation_m,slope_deg,northness,eastness,distance_to_coast_m,distance_to_permanent_water_m
NDVI_MAM_median,1.0,-0.8874910829540326,0.8874910829540326,-0.9327039498895189,-0.2115029338852798,0.41124228478072267,0.19080134307916427,0.09569562118401181,-0.09036694746903956,0.34769850678096226,0.3771341791089216
NDBI_MAM_median,-0.8874910829540326,1.0,-1.0,0.9872618221828144,0.18401950471772902,-0.322382388460417,-0.13004620219765683,-0.08479214978774745,0.10410463667602868,-0.24019057129125235,-0.27154349198731204
NDMI_MAM_median,0.8874910829540326,-1.0,1.0,-0.9872618221828144,-0.18401950471772902,0.322382388460417,0.13004620219765683,0.08479214978774745,-0.10410463667602868,0.24019057129125235,0.27154349198731204
BSI_MAM_median,-0.9327039498895189,0.9872618221828144,-0.9872618221828144,1.0,0.19378416209767568,-0.34570116602987117,-0.1444638961187535,-0.08781438143048391,0.10399285714976426,-0.2688824397029842,-0.2999383701734292
GHSL_built_local_fraction,-0.2115029338852798,0.18401950471772902,-0.18401950471772902,0.19378416209767568,1.0,-0.12122193504103744,-0.07078756794041759,-0.003993850500618757,-0.018529215434359134,-0.08673062062699209,-0.09856028080111197
elevation_m,0.41124228478072267,-0.322382388460417,0.322382388460417,-0.34570116602987117,-0.12122193504103744,1.0,0.4725055697864287,-0.021070887947602295,0.0016913411128889487,0.7467703300599389,0.7881486080946136
slope_deg,0.19080134307916427,-0.13004620219765683,0.13004620219765683,-0.1444638961187535,-0.07078756794041759,0.4725055697864287,1.0,-0.0027445906938008066,0.013998989594262937,0.19504530388305016,0.22023770268537282
northness,0.09569562118401181,-0.08479214978774745,0.08479214978774745,-0.08781438143048391,-0.003993850500618757,-0.021070887947602295,-0.0027445906938008066,1.0,-0.019177486359575988,-0.052894512645936094,-0.0605354290192643
eastness,-0.09036694746903956,0.10410463667602868,-0.10410463667602868,0.10399285714976426,-0.018529215434359134,0.0016913411128889487,0.013998989594262937,-0.019177486359575988,1.0,-0.024278955447772053,-0.02670771803707289
distance_to_coast_m,0.34769850678096226,-0.24019057129125235,0.24019057129125235,-0.2688824397029842,-0.08673062062699209,0.7467703300599389,0.19504530388305016,-0.052894512645936094,-0.024278955447772053,1.0,0.936619014134655
distance_to_permanent_water_m,0.3771341791089216,-0.27154349198731204,0.27154349198731204,-0.2999383701734292,-0.09856028080111197,0.7881486080946136,0.22023770268537282,-0.0605354290192643,-0.02670771803707289,0.936619014134655,1.0
