term,coef,SE_HC3,p_value
const,32.01362346616864,0.01515704168552307,0.0
NDVI_MAM_median,-0.19822582073076334,0.06469605290316824,0.002184314707786346
NDBI_MAM_median,0.871499691658359,0.055261714134889166,4.97287476582199e-56
GHSL_built_local_fraction,0.10817742124261455,0.03349540689585596,0.001239550415067026
elevation_m,-1.0526982455782203,0.017888349510079105,0.0
slope_deg,-0.015700417714409127,0.016067942242543064,0.32850635892429225
northness,-0.032748382161337096,0.013705881457969063,0.016877429106476063
eastness,0.21813942206901807,0.013508759935779236,1.1730849635286361e-58
distance_to_coast_m,-0.237991500206962,0.015952882411159414,2.5019658939604967e-50
WC_30,0.43948913694608766,0.09799025736149673,7.290404998228781e-06
WC_50,0.6187590315560592,0.3691489338723653,0.09370348598595142
WC_95,0.3896829287882765,0.13903866695894215,0.005067762409724355
WC_Other,-0.12178406777794847,0.9315636963321624,0.8959882661261765
