municipality,n,R2,RMSE,MAE
Old Panamao,572,0.45425117696703443,0.9849047245683735,0.7814367906851851
Talipao,1865,0.6683919483655176,1.0503063714727352,0.8182632471035922
Luuk,860,0.42922812222353113,1.0707848312366783,0.845043766894311
Panglima Estino,359,0.4421132980297595,1.0917060187829917,0.8409781631943475
Kalingalan Caluang,640,0.46033371379201504,1.2481661159403754,1.0403151463213116
Indanan,1123,0.4210339490056698,1.314337975639688,1.070616463604974
Maimbung,495,0.3745905368798411,1.3338074634336463,1.0634657474563878
Patikul,1495,0.7741378871619626,1.4084011236947531,1.131112093776565
Omar,615,0.37505478599474495,1.5093574423832177,0.955345503878893
Parang,760,0.22108262826094927,1.8625567690678764,1.5997919431522747
Jolo,31,-0.4371168998995629,3.0237523142414493,2.7359517228133203
