Block_km,Model,n_groups,R2,RMSE,MAE
1,Linear,915,0.6898330684095104,1.2680351004958,0.9600457625010382
1,XGBoost,915,0.7177815405832015,1.2095567153596403,0.9282941816798786
1,LightGBM,915,0.7194858902207211,1.2058988585923638,0.9256905679594457
2,Linear,255,0.6855864372192941,1.276686201389894,0.9631416626624968
2,XGBoost,255,0.7064641619669378,1.2335708399951033,0.947051399828118
2,LightGBM,255,0.7083146861110868,1.229676321039314,0.9433235952570352
3,Linear,126,0.6863327385530121,1.2751701111287035,0.9658717594516354
3,XGBoost,126,0.7051381877768882,1.2363538733551769,0.9549752762177004
3,LightGBM,126,0.7060007548276181,1.2345441795720091,0.9512889191064917
5,Linear,54,0.6731412432998877,1.3017080505073357,0.9866511929937867
5,XGBoost,54,0.6831201930655982,1.2816835519277179,0.9870094404762894
5,LightGBM,54,0.6857214493125027,1.276412061522992,0.9838847413985529
