season,feature,mean_abs_SHAP
MAM,elevation_m,0.7759357647699857
MAM,NDVI,0.6749590041404614
MAM,NDBI,0.3533754998415101
MAM,distance_to_coast_m,0.26496262625024397
MAM,eastness,0.17799684845576955
MAM,slope_deg,0.05214993741477488
MAM,northness,0.04637445947826289
MAM,GHSL_built_fraction,0.025793516648850153
MAM,WC_95,0.02258418774383637
MAM,WC_50,0.015651602274441907
MAM,WC_30,0.0068609499739765096
MAM,WC_10,0.006129386721503138
MAM,WC_Other,0.0
JJA,elevation_m,0.9086624510212665
JJA,NDBI,0.30671639671534945
JJA,distance_to_coast_m,0.242098199846038
JJA,NDVI,0.1526947940647406
JJA,eastness,0.12197790270015588
JJA,northness,0.09356479161789027
JJA,slope_deg,0.06768916729635824
JJA,GHSL_built_fraction,0.033301355805717456
JJA,WC_95,0.02313647093015012
JJA,WC_50,0.019204376309725758
JJA,WC_30,0.015618013929483452
JJA,WC_10,0.0024616021819020566
JJA,WC_Other,0.0
DJF,elevation_m,0.8138183304288167
DJF,NDVI,0.3752077048076657
DJF,NDBI,0.22968252678970394
DJF,northness,0.1848003747509369
DJF,distance_to_coast_m,0.17979446888742578
DJF,eastness,0.15213763891483645
DJF,slope_deg,0.0477163035739092
DJF,GHSL_built_fraction,0.01718500982183748
DJF,WC_50,0.015287321697707346
DJF,WC_95,0.010517837046069999
DJF,WC_30,0.0076633567382719155
DJF,WC_10,0.0027528650673324883
DJF,WC_Other,0.0
