season,block_km,n,n_groups,R2,RMSE,MAE
MAM,1,8631,897,0.7349565471636812,1.1858588128818948,0.904141826790033
MAM,2,8631,251,0.7137202021715363,1.2324513817243608,0.9444386278772303
MAM,3,8631,123,0.7150521615778473,1.2295809572369123,0.9430041333487218
MAM,5,8631,53,0.705389396465605,1.250255092045563,0.9611103684794094
JJA,1,8585,897,0.6675759159149264,1.1090044486870658,0.8238238195861948
JJA,2,8585,251,0.655935498137642,1.1282542590811424,0.8376359830631113
JJA,3,8585,123,0.6457940423073674,1.144761404255991,0.8551680364882924
JJA,5,8585,53,0.6382096872459022,1.1569524628278338,0.8595476954285224
DJF,1,8608,896,0.6941763104898621,1.034754489473839,0.7792680656274411
DJF,2,8608,251,0.6815554488993201,1.0558899801773156,0.797595724905948
DJF,3,8608,123,0.6685922902919463,1.0771670531153126,0.8191064591876281
DJF,5,8608,53,0.6675718497261309,1.0788241360640234,0.8193609235745754
