scheme,predictor,n_groups,median_rho,min_rho,max_rho,sign_consistency,positive_fraction,negative_fraction
3km,GHSL_built_local_fraction,5,0.3159689286256624,0.24984698190683763,0.33068660798888005,1.0,1.0,0.0
3km,NDBI_MAM_median,5,0.9611258456589845,0.9409912139917209,0.9662157370431569,1.0,1.0,0.0
3km,NDVI_MAM_median,5,-0.9607096697287199,-0.9762041159338014,-0.9452201096075973,1.0,0.0,1.0
3km,distance_to_coast_m,5,-0.7517036095822303,-0.8228231704194849,-0.684291191429977,1.0,0.0,1.0
3km,eastness,5,0.935274099146424,0.9147783139911717,0.9513383054543252,1.0,1.0,0.0
3km,elevation_m,5,-0.9412442900782128,-0.9658264100987652,-0.8876965813967971,1.0,0.0,1.0
3km,northness,5,-0.3020757289246282,-0.5477965597090326,-0.09361093076956645,1.0,0.0,1.0
3km,slope_deg,5,-0.3288322765353463,-0.41093533508629143,-0.22680865152748172,1.0,0.0,1.0
LOMO,GHSL_built_local_fraction,11,0.339910148881451,0.1948797909288363,0.9605032220639975,1.0,1.0,0.0
LOMO,NDBI_MAM_median,11,0.9583793844711537,0.595967741935484,0.9816562187105481,1.0,1.0,0.0
LOMO,NDVI_MAM_median,11,-0.9627980425072665,-0.9828606855866828,-0.35967741935483877,1.0,0.0,1.0
LOMO,distance_to_coast_m,11,-0.7322142361463977,-0.8466046296651674,0.6020161290322581,0.9090909090909091,0.09090909090909091,0.9090909090909091
LOMO,eastness,11,0.929056505370723,0.8925013972231466,0.9491067183801035,1.0,1.0,0.0
LOMO,elevation_m,11,-0.9284007859848901,-0.9901602375783729,-0.2674482249989374,1.0,0.0,1.0
LOMO,northness,11,-0.3176766027875651,-0.538666237297316,0.2968697970302604,0.7272727272727273,0.2727272727272727,0.7272727272727273
LOMO,slope_deg,11,-0.09566768834374015,-0.6747667070636246,0.3089896245369386,0.6363636363636364,0.36363636363636365,0.6363636363636364
