scheme,group,predictor,rho_feature_SHAP
3km,1,NDVI_MAM_median,-0.9762041159338014
3km,1,NDBI_MAM_median,0.9662157370431569
3km,1,GHSL_built_local_fraction,0.3159689286256624
3km,1,elevation_m,-0.9412442900782128
3km,1,slope_deg,-0.22680865152748172
3km,1,northness,-0.3020757289246282
3km,1,eastness,0.935274099146424
3km,1,distance_to_coast_m,-0.684291191429977
3km,2,NDVI_MAM_median,-0.9607096697287199
3km,2,NDBI_MAM_median,0.9409912139917209
3km,2,GHSL_built_local_fraction,0.32506494880813996
3km,2,elevation_m,-0.8876965813967971
3km,2,slope_deg,-0.3288322765353463
3km,2,northness,-0.09361093076956645
3km,2,eastness,0.9398570703812898
3km,2,distance_to_coast_m,-0.8188747466281864
3km,3,NDVI_MAM_median,-0.972213168241666
3km,3,NDBI_MAM_median,0.9611258456589845
3km,3,GHSL_built_local_fraction,0.24984698190683763
3km,3,elevation_m,-0.9392946277468416
3km,3,slope_deg,-0.3987211675456001
3km,3,northness,-0.5477965597090326
3km,3,eastness,0.9147783139911717
3km,3,distance_to_coast_m,-0.7517036095822303
3km,4,NDVI_MAM_median,-0.9452201096075973
3km,4,NDBI_MAM_median,0.9497204966412379
3km,4,GHSL_built_local_fraction,0.3146415707908426
3km,4,elevation_m,-0.9656353026626694
3km,4,slope_deg,-0.24651330604924557
3km,4,northness,-0.3778705795101262
3km,4,eastness,0.9513383054543252
3km,4,distance_to_coast_m,-0.7179315239876544
3km,5,NDVI_MAM_median,-0.9598975711276484
3km,5,NDBI_MAM_median,0.9654948284584477
3km,5,GHSL_built_local_fraction,0.33068660798888005
3km,5,elevation_m,-0.9658264100987652
3km,5,slope_deg,-0.41093533508629143
3km,5,northness,-0.24512300950281118
3km,5,eastness,0.918672615455167
3km,5,distance_to_coast_m,-0.8228231704194849
LOMO,Talipao,NDVI_MAM_median,-0.968348093154774
LOMO,Talipao,NDBI_MAM_median,0.9298816084340571
LOMO,Talipao,GHSL_built_local_fraction,0.1948797909288363
LOMO,Talipao,elevation_m,-0.9834133273581248
LOMO,Talipao,slope_deg,0.04566520243764865
LOMO,Talipao,northness,-0.16895532002380503
LOMO,Talipao,eastness,0.9257394780866531
LOMO,Talipao,distance_to_coast_m,-0.6125336635739143
LOMO,Patikul,NDVI_MAM_median,-0.8982161040922942
LOMO,Patikul,NDBI_MAM_median,0.9185290946484057
LOMO,Patikul,GHSL_built_local_fraction,0.3532057884406069
LOMO,Patikul,elevation_m,-0.9847178277325038
LOMO,Patikul,slope_deg,-0.6747667070636246
LOMO,Patikul,northness,-0.538666237297316
LOMO,Patikul,eastness,0.9491067183801035
LOMO,Patikul,distance_to_coast_m,-0.8195215508499116
LOMO,Indanan,NDVI_MAM_median,-0.9323669378900264
LOMO,Indanan,NDBI_MAM_median,0.9360732135305226
LOMO,Indanan,GHSL_built_local_fraction,0.339910148881451
LOMO,Indanan,elevation_m,-0.9901602375783729
LOMO,Indanan,slope_deg,-0.6512381829028369
LOMO,Indanan,northness,0.0729832107032874
LOMO,Indanan,eastness,0.9424672382507128
LOMO,Indanan,distance_to_coast_m,-0.7718259874418049
LOMO,Luuk,NDVI_MAM_median,-0.8968595972521797
LOMO,Luuk,NDBI_MAM_median,0.9639530874634549
LOMO,Luuk,GHSL_built_local_fraction,0.3228027668595964
LOMO,Luuk,elevation_m,-0.7895806309953988
LOMO,Luuk,slope_deg,0.11267093578640744
LOMO,Luuk,northness,-0.3239686870848073
LOMO,Luuk,eastness,0.8925013972231466
LOMO,Luuk,distance_to_coast_m,-0.8466046296651674
LOMO,Parang,NDVI_MAM_median,-0.9780355083352765
