scheme,group,predictor,mean_abs_SHAP,rank
3km,1,NDVI_MAM_median,0.6511501778751825,2.0
3km,1,NDBI_MAM_median,0.3236192203194684,3.0
3km,1,GHSL_built_local_fraction,0.029513286904274374,9.0
3km,1,elevation_m,0.6768765735210234,1.0
3km,1,slope_deg,0.05839590004506168,6.0
3km,1,northness,0.03370029233521366,8.0
3km,1,eastness,0.18386508376298502,5.0
3km,1,distance_to_coast_m,0.2789268485277385,4.0
3km,1,WorldCover,0.040884869910847554,7.0
3km,2,NDVI_MAM_median,0.5205155149566696,2.0
3km,2,NDBI_MAM_median,0.3027960029936495,3.0
3km,2,GHSL_built_local_fraction,0.029520847653003248,9.0
3km,2,elevation_m,0.8313253193210576,1.0
3km,2,slope_deg,0.055948932738139605,6.0
3km,2,northness,0.04250580784667601,7.0
3km,2,eastness,0.16989592844759843,5.0
3km,2,distance_to_coast_m,0.29302720091607104,4.0
3km,2,WorldCover,0.03212386971804138,8.0
3km,3,NDVI_MAM_median,0.7111831600310258,2.0
3km,3,NDBI_MAM_median,0.3080879948592105,3.0
3km,3,GHSL_built_local_fraction,0.024663053956690724,9.0
3km,3,elevation_m,0.8379819035540095,1.0
3km,3,slope_deg,0.06870450914703191,6.0
3km,3,northness,0.03666498338772692,8.0
3km,3,eastness,0.15860523126217263,5.0
3km,3,distance_to_coast_m,0.21548224087211465,4.0
3km,3,WorldCover,0.03986380302553531,7.0
3km,4,NDVI_MAM_median,0.49473397488429854,2.0
3km,4,NDBI_MAM_median,0.29803112396639014,3.0
3km,4,GHSL_built_local_fraction,0.026028110578854503,9.0
3km,4,elevation_m,0.9575199015957627,1.0
3km,4,slope_deg,0.05230551097857321,6.0
3km,4,northness,0.03075731528045727,8.0
3km,4,eastness,0.17525858985589263,5.0
3km,4,distance_to_coast_m,0.21790657813144051,4.0
3km,4,WorldCover,0.03630429250410686,7.0
3km,5,NDVI_MAM_median,0.580473472223485,2.0
3km,5,NDBI_MAM_median,0.3158782638463911,3.0
3km,5,GHSL_built_local_fraction,0.02940802152230118,9.0
3km,5,elevation_m,0.7673987610808976,1.0
3km,5,slope_deg,0.06063068796551134,6.0
3km,5,northness,0.04440314985928389,7.0
3km,5,eastness,0.18268099372961263,5.0
3km,5,distance_to_coast_m,0.277213269412085,4.0
3km,5,WorldCover,0.037313258515206366,8.0
LOMO,Talipao,NDVI_MAM_median,0.5893152320357113,2.0
LOMO,Talipao,NDBI_MAM_median,0.2551295297072485,4.0
LOMO,Talipao,GHSL_built_local_fraction,0.021008007131299678,9.0
LOMO,Talipao,elevation_m,0.7347050373155888,1.0
LOMO,Talipao,slope_deg,0.05878387941822234,6.0
LOMO,Talipao,northness,0.03985043077688451,8.0
LOMO,Talipao,eastness,0.16778246738813107,5.0
LOMO,Talipao,distance_to_coast_m,0.31255731912853457,3.0
LOMO,Talipao,WorldCover,0.040906300043362695,7.0
LOMO,Patikul,NDVI_MAM_median,0.6516642819285245,2.0
LOMO,Patikul,NDBI_MAM_median,0.3226840796735032,3.0
LOMO,Patikul,GHSL_built_local_fraction,0.026107323263544587,9.0
LOMO,Patikul,elevation_m,1.084100671961942,1.0
LOMO,Patikul,slope_deg,0.07640071121462301,6.0
LOMO,Patikul,northness,0.036033598521150075,7.0
LOMO,Patikul,eastness,0.17516864478207836,5.0
LOMO,Patikul,distance_to_coast_m,0.17518264022465418,4.0
LOMO,Patikul,WorldCover,0.027050728711615502,8.0
LOMO,Indanan,NDVI_MAM_median,0.5522758514729899,2.0
LOMO,Indanan,NDBI_MAM_median,0.2656914763763996,4.0
LOMO,Indanan,GHSL_built_local_fraction,0.02456993380222143,8.0
LOMO,Indanan,elevation_m,0.9311952499512715,1.0
LOMO,Indanan,slope_deg,0.07162730683610279,6.0
LOMO,Indanan,northness,0.03705385732713546,7.0
LOMO,Indanan,eastness,0.15836687937802338,5.0
