scheme,predictor,mean_rank,sd_rank,min_rank,max_rank,mean_importance,cv_importance
3km,elevation_m,1.0,0.0,1.0,1.0,0.8142204918145503,0.12651854035055496
3km,NDVI_MAM_median,2.0,0.0,2.0,2.0,0.5916112599941323,0.15214144301284263
3km,NDBI_MAM_median,3.0,0.0,3.0,3.0,0.30968252119702194,0.0330231329636003
3km,distance_to_coast_m,4.0,0.0,4.0,4.0,0.25651122757188993,0.14374379990471392
3km,eastness,5.0,0.0,5.0,5.0,0.17406116541165226,0.0594338998900152
3km,slope_deg,6.0,0.0,6.0,6.0,0.05919710817486355,0.1038361235433502
3km,WorldCover,7.4,0.5477225575051661,7.0,8.0,0.037298018734747494,0.09210715919715609
3km,northness,7.6,0.5477225575051661,7.0,8.0,0.037606309741871555,0.15347910769904863
3km,GHSL_built_local_fraction,9.0,0.0,9.0,9.0,0.027826664123024803,0.08323620644462182
LOMO,elevation_m,1.3636363636363635,0.6741998624632421,1.0,3.0,0.8031401093044703,0.2453459508796846
LOMO,NDVI_MAM_median,1.7272727272727273,0.46709936649691375,1.0,2.0,0.7009588803258023,0.5140895376293051
LOMO,NDBI_MAM_median,3.090909090909091,0.5393598899705937,2.0,4.0,0.42795113012615293,0.9878968655021688
LOMO,distance_to_coast_m,3.8181818181818183,0.4045199174779452,3.0,4.0,0.28557781942112265,0.31004431340875216
LOMO,eastness,5.181818181818182,0.6030226891555273,5.0,7.0,0.17264085267164073,0.138920414127875
LOMO,slope_deg,6.2727272727272725,0.9045340337332909,6.0,9.0,0.05725240347450853,0.20976850773460456
LOMO,WorldCover,7.545454545454546,1.0357254813546264,6.0,9.0,0.06362794548200662,1.4523932983304915
LOMO,northness,7.7272727272727275,0.6466697906828632,7.0,9.0,0.037225344147334076,0.16008163075655404
LOMO,GHSL_built_local_fraction,8.272727272727273,1.1908743922772955,5.0,9.0,0.06595038110633095,1.9421434145041467
