subset,x,y,n,spearman_rho,p
all_LOMO,rank_rho_vs_full,R2,11,0.24308621740219885,0.47136814337244326
all_LOMO,rank_rho_vs_full,RMSE,11,-0.1355673135512263,0.6910458130712093
all_LOMO,rank_rho_vs_full,MAE,11,-0.25243568730228344,0.45392974797563623
all_LOMO,importance_cosine_vs_full,R2,11,0.009090909090909092,0.9788365001441937
all_LOMO,importance_cosine_vs_full,RMSE,11,0.08181818181818183,0.8109903943000459
all_LOMO,importance_cosine_vs_full,MAE,11,0.09090909090909091,0.7903727377532903
all_LOMO,importance_L1_vs_full,R2,11,0.0,1.0
all_LOMO,importance_L1_vs_full,RMSE,11,0.009090909090909092,0.9788365001441937
all_LOMO,importance_L1_vs_full,MAE,11,0.08181818181818183,0.8109903943000459
all_LOMO,top3_jaccard_vs_full,R2,11,-0.223606797749979,0.5086464915963442
all_LOMO,top3_jaccard_vs_full,RMSE,11,0.29814239699997197,0.3731987726603276
all_LOMO,top3_jaccard_vs_full,MAE,11,0.14907119849998599,0.6617803305191604
LOMO_n_ge_100,rank_rho_vs_full,R2,10,-0.018881372801234024,0.9587117186261368
LOMO_n_ge_100,rank_rho_vs_full,RMSE,10,0.16363856427736154,0.6514729053402485
LOMO_n_ge_100,rank_rho_vs_full,MAE,10,0.006293790933744675,0.9862328776816296
LOMO_n_ge_100,importance_cosine_vs_full,R2,10,-0.32121212121212117,0.36546831043867045
LOMO_n_ge_100,importance_cosine_vs_full,RMSE,10,0.4424242424242424,0.20042268671194213
LOMO_n_ge_100,importance_cosine_vs_full,MAE,10,0.4545454545454545,0.18690481034933196
LOMO_n_ge_100,importance_L1_vs_full,R2,10,0.33333333333333326,0.3465935070873343
LOMO_n_ge_100,importance_L1_vs_full,RMSE,10,-0.32121212121212117,0.36546831043867045
LOMO_n_ge_100,importance_L1_vs_full,MAE,10,-0.22424242424242422,0.5334005612725947
LOMO_n_ge_100,top3_jaccard_vs_full,R2,10,-0.17407765595569782,0.6305360755569764
LOMO_n_ge_100,top3_jaccard_vs_full,RMSE,10,0.2611164839335467,0.4661852835040308
LOMO_n_ge_100,top3_jaccard_vs_full,MAE,10,0.08703882797784891,0.8110384240587123
