scheme,group,n,R2,RMSE,MAE,rank_rho_vs_full,importance_cosine_vs_full,importance_L1_vs_full,top3_jaccard_vs_full
3km,1,1768,0.7364149526490913,1.2417092794276312,0.9858641394650135,1.0,0.9901012281925385,0.12406136310361716,1.0
3km,2,1767,0.6745562480156173,1.2041274333363379,0.9478854164803723,0.9833333333333333,0.9964877025073646,0.07451892700709076,1.0
3km,3,1768,0.7655420347155244,1.1980084264132713,0.9416094529485156,1.0,0.9965409885693921,0.07815726612348811,1.0
3km,4,1767,0.6301270983084362,1.2795470415985384,0.9859750259736989,1.0,0.9889846384794556,0.12844164552553414,1.0
3km,5,1768,0.6760939249274964,1.266316681387112,0.9101571261166074,0.9833333333333333,0.998351612026022,0.06869983421685238,1.0
LOMO,Talipao,1865,0.6670504240311965,1.0524287406083186,0.8194644920783264,0.9833333333333333,0.9959557590065802,0.08388246678933234,0.5
LOMO,Patikul,1495,0.7735799947279536,1.4101394668721567,1.1328325604557388,0.9833333333333333,0.9910557300233815,0.13396971503425797,1.0
LOMO,Indanan,1123,0.4193359282970527,1.3162639427392164,1.072156769979695,0.9333333333333332,0.9932490888189833,0.13168138945183924,0.5
LOMO,Luuk,860,0.42438266431025273,1.075320336539053,0.8481282949062604,1.0,0.989816351637046,0.13766689505010263,1.0
LOMO,Parang,760,0.22026511860011866,1.8635339323026077,1.6004249999452687,0.9500000000000001,0.995785150954881,0.09530740276909537,1.0
LOMO,Kalingalan Caluang,640,0.45710192747731526,1.2518978527449407,1.0430207211926938,1.0,0.9908966042560975,0.12545464076081836,1.0
LOMO,Omar,615,0.37249096654527003,1.5124503208847009,0.9572507873026767,1.0,0.9926000231657329,0.11205537756886279,1.0
LOMO,Old Panamao,572,0.4517845813347632,0.9871279294629759,0.7819443525175516,0.9333333333333332,0.9874475330767895,0.13243214206181578,1.0
LOMO,Maimbung,495,0.3731917845909143,1.3352981861991062,1.0638552314477239,1.0,0.9991752160448959,0.041745115704435815,1.0
LOMO,Panglima Estino,359,0.4361420217051021,1.0975329434044454,0.8460025503434854,0.9666666666666667,0.9850010224977291,0.16288366791675096,1.0
LOMO,Jolo,31,-0.45100038156161215,3.038322913055306,2.748776256616233,0.7,0.8706286134649419,0.5309873063067085,1.0
