subset,x,y,n,spearman_rho,p
all,DI_mean,RMSE,11,0.46363636363636374,0.15090149929248592
all,DI_mean,MAE,11,0.4909090909090909,0.12520440713849548
all,DI_mean,R2,11,-0.10909090909090911,0.7495085962341481
all,DI_p95,RMSE,11,0.39090909090909093,0.23454006709519437
all,DI_p95,MAE,11,0.4272727272727273,0.18994372496542714
all,DI_p95,R2,11,0.009090909090909092,0.9788365001441937
all,inside_AOA_pct,RMSE,11,-0.43636363636363645,0.17966487658001118
all,inside_AOA_pct,MAE,11,-0.5181818181818182,0.1024915397909638
all,inside_AOA_pct,R2,11,0.018181818181818184,0.9576852410216187
n_ge_100,DI_mean,RMSE,10,0.28484848484848485,0.4250381548921454
n_ge_100,DI_mean,MAE,10,0.32121212121212117,0.36546831043867045
n_ge_100,DI_mean,R2,10,0.18787878787878787,0.6032176100292089
n_ge_100,DI_p95,RMSE,10,0.29696969696969694,0.40470167127015705
n_ge_100,DI_p95,MAE,10,0.34545454545454546,0.3282265114713672
n_ge_100,DI_p95,R2,10,0.23636363636363633,0.5108853175152003
n_ge_100,inside_AOA_pct,RMSE,10,-0.24848484848484845,0.4887763045192432
n_ge_100,inside_AOA_pct,MAE,10,-0.35757575757575755,0.31037609170568026
n_ge_100,inside_AOA_pct,R2,10,-0.309090909090909,0.38484123026128353
