municipality,n,R2,RMSE,MAE,DI_mean,DI_median,DI_p95,AOA_threshold_3kmCV_p95,inside_AOA_n,inside_AOA_pct,outside_AOA_n,inside_R2,inside_RMSE,inside_MAE,outside_R2,outside_RMSE,outside_MAE,rho_abs_error_DI
Indanan,1123,0.4193359282970527,1.3162639427392164,1.072156769979695,1.1292537986421,1.0616094769738191,1.7860630058690643,1.8901235779406318,1080,96.17097061442564,43,0.3201218327201839,1.3231805413479942,1.0783206375619583,0.8979884811405661,1.128728721901698,0.9173433516344851,-0.08779781102889513
Jolo,31,-0.45100038156161215,3.038322913055306,2.748776256616233,1.7887561429594185,1.7332447802637512,3.1534802892799108,1.8901235779406318,17,54.83870967741935,14,-0.3645955350914185,3.0367562178318277,2.7129850947491505,-0.8197084607689149,3.0402242432886273,2.79223695316912,0.0076612903225806465
Kalingalan Caluang,640,0.45710192747731526,1.2518978527449407,1.0430207211926938,0.9761756199815845,0.8928742792479809,1.6918049951559866,1.8901235779406318,618,96.5625,22,0.43514091143063083,1.251227906697432,1.0452285595530797,0.7012717205753495,1.2705729189603152,0.9810005345236658,-0.16868087751679084
Luuk,860,0.42438266431025273,1.075320336539053,0.8481282949062604,0.977028026805199,0.9078313683075595,1.644887535786458,1.8901235779406318,833,96.86046511627907,27,0.36565890398334233,1.0726746431949201,0.8473559249842587,0.6342970048365663,1.153968338552397,0.8719573373146831,-0.038626009688405315
Maimbung,495,0.3731917845909143,1.3352981861991062,1.0638552314477239,0.9144807123052628,0.8673269674012755,1.5074032665187271,1.8901235779406318,484,97.77777777777777,11,0.34513436104515105,1.2932493406324939,1.0390225599754686,0.38985515856675035,2.5780276109765197,2.156492776226955,0.023307351957606626
Old Panamao,572,0.4517845813347632,0.9871279294629759,0.7819443525175516,0.8568307431278757,0.8040140931312065,1.384202436488865,1.8901235779406318,566,98.95104895104895,6,0.45589812160597276,0.9847195270833556,0.7799736925395504,-0.3383347802861445,1.1926486271521783,0.9678432771089979,-0.01159548678826881
Omar,615,0.37249096654527003,1.5124503208847009,0.9572507873026767,1.0142630681312512,0.9124619330549697,1.7415752369967241,1.8901235779406318,594,96.58536585365853,21,0.3619833762579351,1.5152582722292247,0.9520492508769468,0.5543291224328593,1.4307447334401597,1.1043799604876083,0.048151514807588544
Panglima Estino,359,0.4361420217051021,1.0975329434044454,0.8460025503434854,0.9894897233081061,0.8886743624622911,1.7783645716726644,1.8901235779406318,346,96.37883008356546,13,0.480152189290761,1.0454210361794158,0.8257352913716696,-0.5270782101290263,2.043724433259451,1.385423442977969,-0.002054901106425359
Parang,760,0.22026511860011866,1.8635339323026077,1.6004249999452687,1.0213913218528243,0.8657453534977575,1.962627809399747,1.8901235779406318,715,94.07894736842105,45,0.09302031792764931,1.8870431891227573,1.626587841525174,0.7861079168740083,1.4393690477768926,1.1847265170645431,-0.26587614372054336
Patikul,1495,0.7735799947279536,1.4101394668721567,1.1328325604557388,1.2592222964698636,1.130110368571563,2.3296658608004868,1.8901235779406318,1322,88.42809364548495,173,0.7553299521172294,1.3837506220011608,1.1099954371497474,0.8149678014584064,1.59746392428506,1.3073451443315784,0.09824808866499926
Talipao,1865,0.6670504240311965,1.0524287406083186,0.8194644920783264,1.3970879535390193,1.104439380968918,3.310334401942217,1.8901235779406318,1496,80.21447721179624,369,0.6319462008646808,1.042119945306377,0.8248696768606755,0.7025457055357063,1.0932271774913562,0.7975507890040875,-0.048200364730836644
