municipality,rank_rho_vs_full,top3_jaccard_vs_full,n,R2,RMSE,MAE
Indanan,0.9761904761904763,0.5,1123,0.4210339490056698,1.314337975639688,1.070616463604974
Jolo,0.7619047619047621,1.0,31,-0.4371168998995629,3.0237523142414493,2.7359517228133203
Kalingalan Caluang,1.0,1.0,640,0.460333713792015,1.2481661159403754,1.0403151463213116
Luuk,1.0,1.0,860,0.4292281222235311,1.0707848312366783,0.845043766894311
Maimbung,1.0,1.0,495,0.3745905368798411,1.3338074634336463,1.0634657474563878
Old Panamao,0.9761904761904763,1.0,572,0.4542511769670344,0.9849047245683736,0.7814367906851851
Omar,1.0,1.0,615,0.3750547859947449,1.5093574423832177,0.955345503878893
Panglima Estino,0.9523809523809524,1.0,359,0.4421132980297595,1.0917060187829917,0.8409781631943475
Parang,1.0,1.0,760,0.2210826282609492,1.8625567690678764,1.599791943152275
Patikul,1.0,1.0,1495,0.7741378871619626,1.4084011236947531,1.131112093776565
Talipao,0.9761904761904763,0.5,1865,0.6683919483655176,1.0503063714727352,0.8182632471035922
