seed,predictor,mean_abs_SHAP
0,NDVI_MAM_median,0.5672516812788168
0,NDBI_MAM_median,0.30552346798650554
0,GHSL_built_local_fraction,0.02534239997086987
0,elevation_m,0.8365172151492251
0,slope_deg,0.05824086741885556
0,northness,0.033179098808064834
0,eastness,0.1718871294024849
0,distance_to_coast_m,0.25920199041088954
1,NDVI_MAM_median,0.6351673490996258
1,NDBI_MAM_median,0.330204510964836
1,GHSL_built_local_fraction,0.026050633522978785
1,elevation_m,0.79025597545442
1,slope_deg,0.05323371057466775
1,northness,0.030295871041418045
1,eastness,0.17500989986616192
1,distance_to_coast_m,0.24668120816523423
2,NDVI_MAM_median,0.5850113971385079
2,NDBI_MAM_median,0.319480982636571
2,GHSL_built_local_fraction,0.026272302534426948
2,elevation_m,0.8265935202334255
2,slope_deg,0.061281340718137726
2,northness,0.03265912075437095
2,eastness,0.17694618482716526
2,distance_to_coast_m,0.24380173299964547
3,NDVI_MAM_median,0.562499867144276
3,NDBI_MAM_median,0.33909716493107717
3,GHSL_built_local_fraction,0.024452020686096584
3,elevation_m,0.8300572756987075
3,slope_deg,0.0564688769890287
3,northness,0.03497968359577117
3,eastness,0.1750416733345303
3,distance_to_coast_m,0.24494555876700486
4,NDVI_MAM_median,0.5945456341529661
4,NDBI_MAM_median,0.3267298963376637
4,GHSL_built_local_fraction,0.02458974570483637
4,elevation_m,0.7897578875514322
4,slope_deg,0.06014435952039874
4,northness,0.034637523218709124
4,eastness,0.1743811981342493
4,distance_to_coast_m,0.26031621612509404
5,NDVI_MAM_median,0.5715939929308531
5,NDBI_MAM_median,0.30021604196763524
5,GHSL_built_local_fraction,0.026554746080429563
5,elevation_m,0.83313614401163
5,slope_deg,0.06038558692600851
5,northness,0.0351392720441139
5,eastness,0.17379613737569066
5,distance_to_coast_m,0.2518214526063587
6,NDVI_MAM_median,0.5827246611179869
6,NDBI_MAM_median,0.32825012982033724
6,GHSL_built_local_fraction,0.02464186585717474
6,elevation_m,0.8298671660371929
6,slope_deg,0.052985486824231355
6,northness,0.03137898536604427
6,eastness,0.1741097669593658
6,distance_to_coast_m,0.24945963827213563
7,NDVI_MAM_median,0.6217084735995299
7,NDBI_MAM_median,0.3213261125689191
7,GHSL_built_local_fraction,0.02607577615768867
7,elevation_m,0.7686842507232071
7,slope_deg,0.057948245205936035
7,northness,0.03498376392157119
7,eastness,0.17536290366680388
7,distance_to_coast_m,0.25808053034864264
8,NDVI_MAM_median,0.6114717567264503
8,NDBI_MAM_median,0.3101957783565766
8,GHSL_built_local_fraction,0.025166250428276252
8,elevation_m,0.8138509518380885
8,slope_deg,0.057066328557675565
8,northness,0.031190288519644147
8,eastness,0.1749550105479796
8,distance_to_coast_m,0.25208656936288965
9,NDVI_MAM_median,0.622830831670486
9,NDBI_MAM_median,0.32146280384466003
9,GHSL_built_local_fraction,0.027452165708739974
9,elevation_m,0.7805740266045528
9,slope_deg,0.05478188506047462
9,northness,0.034235892727842145
9,eastness,0.17349841727669657
9,distance_to_coast_m,0.2511132974311362
