block_km,fold,predictor,spearman_feature_SHAP
1,1,NDVI_MAM_median,-0.9548540543421308
1,1,NDBI_MAM_median,0.9494109325485687
1,1,GHSL_built_local_fraction,0.2646628760069449
1,1,elevation_m,-0.9410170544766697
1,1,slope_deg,-0.5375604795769086
1,1,northness,-0.40118686113891217
1,1,eastness,0.9374036649480606
1,1,distance_to_coast_m,-0.7798841210093805
1,2,NDVI_MAM_median,-0.9723252078752405
1,2,NDBI_MAM_median,0.9573734451340143
1,2,GHSL_built_local_fraction,0.33311694106927636
1,2,elevation_m,-0.9722521981670936
1,2,slope_deg,-0.13142947216873255
1,2,northness,-0.4865514149623729
1,2,eastness,0.9178422216733177
1,2,distance_to_coast_m,-0.7012632965132759
1,3,NDVI_MAM_median,-0.9643841332594887
1,3,NDBI_MAM_median,0.9589430748332598
1,3,GHSL_built_local_fraction,0.33279519997822005
1,3,elevation_m,-0.92463495808828
1,3,slope_deg,-0.31760590192788857
1,3,northness,-0.037444281679389
1,3,eastness,0.9272728450182599
1,3,distance_to_coast_m,-0.7972321050187274
1,4,NDVI_MAM_median,-0.951211718906468
1,4,NDBI_MAM_median,0.9444568062912063
1,4,GHSL_built_local_fraction,0.3365635903401384
1,4,elevation_m,-0.9354421541620733
1,4,slope_deg,-0.5337262338179327
1,4,northness,-0.12421962615066377
1,4,eastness,0.9386152591815129
1,4,distance_to_coast_m,-0.7629471081521679
1,5,NDVI_MAM_median,-0.9620680386612419
1,5,NDBI_MAM_median,0.9533634979118137
1,5,GHSL_built_local_fraction,0.2898052945766799
1,5,elevation_m,-0.9503061860342699
1,5,slope_deg,0.05068200133228945
1,5,northness,-0.37454830730412286
1,5,eastness,0.9511527676632618
1,5,distance_to_coast_m,-0.7461449842590784
2,1,NDVI_MAM_median,-0.9621318225354153
2,1,NDBI_MAM_median,0.9552574500043016
2,1,GHSL_built_local_fraction,0.26037922655681467
2,1,elevation_m,-0.980050990517538
2,1,slope_deg,-0.17657776714407952
2,1,northness,-0.4896584614541806
2,1,eastness,0.9277328739650309
2,1,distance_to_coast_m,-0.7388625679082912
2,2,NDVI_MAM_median,-0.983268910915006
2,2,NDBI_MAM_median,0.9464121588666914
2,2,GHSL_built_local_fraction,0.32109008593965593
2,2,elevation_m,-0.8931166691424062
2,2,slope_deg,-0.4065665912666444
2,2,northness,-0.35098191392127115
2,2,eastness,0.9469158526888612
2,2,distance_to_coast_m,-0.7535581050484916
2,3,NDVI_MAM_median,-0.957215985788028
2,3,NDBI_MAM_median,0.9534233382848328
2,3,GHSL_built_local_fraction,0.29722683757785495
2,3,elevation_m,-0.9344570121645603
2,3,slope_deg,-0.18411201926872697
2,3,northness,-0.3555202456768578
2,3,eastness,0.9113273622982414
2,3,distance_to_coast_m,-0.7532544361409482
2,4,NDVI_MAM_median,-0.9738859948646416
2,4,NDBI_MAM_median,0.9422405568292188
2,4,GHSL_built_local_fraction,0.26715050612560626
2,4,elevation_m,-0.9454697603095151
2,4,slope_deg,-0.41455399557881023
2,4,northness,-0.14885333186974664
2,4,eastness,0.9350552554460573
2,4,distance_to_coast_m,-0.7657373100294743
2,5,NDVI_MAM_median,-0.9615512835317744
2,5,NDBI_MAM_median,0.9665602626282672
2,5,GHSL_built_local_fraction,0.26756972656989303
2,5,elevation_m,-0.9569945656088258
2,5,slope_deg,-0.3662378494961062
2,5,northness,-0.35739199231866653
2,5,eastness,0.9305748189656042
2,5,distance_to_coast_m,-0.7896803487419028
3,1,NDVI_MAM_median,-0.9762041159338014
3,1,NDBI_MAM_median,0.9662157370431569
3,1,GHSL_built_local_fraction,0.3159689286256624
3,1,elevation_m,-0.9412442900782128
3,1,slope_deg,-0.22680865152748172
3,1,northness,-0.3020757289246282
3,1,eastness,0.935274099146424
3,1,distance_to_coast_m,-0.684291191429977
3,2,NDVI_MAM_median,-0.9607096697287199
3,2,NDBI_MAM_median,0.9409912139917209
3,2,GHSL_built_local_fraction,0.32506494880813996
3,2,elevation_m,-0.8876965813967971
3,2,slope_deg,-0.3288322765353463
3,2,northness,-0.09361093076956645
3,2,eastness,0.9398570703812898
3,2,distance_to_coast_m,-0.8188747466281864
3,3,NDVI_MAM_median,-0.972213168241666
3,3,NDBI_MAM_median,0.9611258456589845
3,3,GHSL_built_local_fraction,0.24984698190683763
3,3,elevation_m,-0.9392946277468416
3,3,slope_deg,-0.3987211675456001
3,3,northness,-0.5477965597090326
3,3,eastness,0.9147783139911717
3,3,distance_to_coast_m,-0.7517036095822303
3,4,NDVI_MAM_median,-0.9452201096075973
3,4,NDBI_MAM_median,0.9497204966412379
3,4,GHSL_built_local_fraction,0.3146415707908426
3,4,elevation_m,-0.9656353026626694
3,4,slope_deg,-0.24651330604924557
3,4,northness,-0.3778705795101262
3,4,eastness,0.9513383054543252
3,4,distance_to_coast_m,-0.7179315239876544
3,5,NDVI_MAM_median,-0.9598975711276484
3,5,NDBI_MAM_median,0.9654948284584477
3,5,GHSL_built_local_fraction,0.33068660798888005
3,5,elevation_m,-0.9658264100987652
3,5,slope_deg,-0.41093533508629143
3,5,northness,-0.24512300950281118
3,5,eastness,0.918672615455167
3,5,distance_to_coast_m,-0.8228231704194849
5,1,NDVI_MAM_median,-0.9690042853123534
5,1,NDBI_MAM_median,0.9466681561686134
5,1,GHSL_built_local_fraction,0.33487192522247955
5,1,elevation_m,-0.9783237871528474
5,1,slope_deg,-0.3022265488033832
5,1,northness,-0.2646564050164827
5,1,eastness,0.9356480792095078
5,1,distance_to_coast_m,-0.7745604509941991
5,2,NDVI_MAM_median,-0.9629081945612287
5,2,NDBI_MAM_median,0.9646718734271789
5,2,GHSL_built_local_fraction,0.27599689097494157
5,2,elevation_m,-0.9287120380645645
5,2,slope_deg,-0.2470087924129083
5,2,northness,-0.23503650565307163
5,2,eastness,0.9183986448405521
5,2,distance_to_coast_m,-0.6612358809507363
5,3,NDVI_MAM_median,-0.9807548687493072
5,3,NDBI_MAM_median,0.9806992810463933
5,3,GHSL_built_local_fraction,0.43217605704108847
5,3,elevation_m,-0.7971625679654336
5,3,slope_deg,0.128918651214394
5,3,northness,-0.16404815969560588
5,3,eastness,0.9218737723877564
5,3,distance_to_coast_m,-0.745209615685498
5,4,NDVI_MAM_median,-0.9591461808539683
5,4,NDBI_MAM_median,0.9546483443569476
5,4,GHSL_built_local_fraction,0.19516523120976284
5,4,elevation_m,-0.9816080100288231
5,4,slope_deg,-0.6796706568939709
5,4,northness,-0.08439581709917428
5,4,eastness,0.9447968733802109
5,4,distance_to_coast_m,-0.7709068334230779
5,5,NDVI_MAM_median,-0.8944956806014381
5,5,NDBI_MAM_median,0.9469340133719183
5,5,GHSL_built_local_fraction,0.2658192555450118
5,5,elevation_m,-0.9658948764636647
5,5,slope_deg,-0.2942063695654942
5,5,northness,-0.37511933910722006
5,5,eastness,0.9547303951510722
5,5,distance_to_coast_m,-0.8069514469234336
