block_km,fold,predictor,mean_abs_SHAP
1,1,NDVI_MAM_median,0.5946075400433997
1,1,NDBI_MAM_median,0.34149879185959375
1,1,GHSL_built_local_fraction,0.026058142729030034
1,1,elevation_m,0.8668522994009217
1,1,slope_deg,0.06741078675038792
1,1,northness,0.03322450376792435
1,1,eastness,0.15510398721517846
1,1,distance_to_coast_m,0.2588867214792305
1,2,NDVI_MAM_median,0.6044501195503452
1,2,NDBI_MAM_median,0.27904429788056806
1,2,GHSL_built_local_fraction,0.030684936504937022
1,2,elevation_m,0.8543756558710002
1,2,slope_deg,0.0663940177145738
1,2,northness,0.04318210676777992
1,2,eastness,0.18026377441140473
1,2,distance_to_coast_m,0.23787638459449076
1,3,NDVI_MAM_median,0.6094616577231964
1,3,NDBI_MAM_median,0.2840437567946906
1,3,GHSL_built_local_fraction,0.029460021855932623
1,3,elevation_m,0.783616842513502
1,3,slope_deg,0.06252630668204016
1,3,northness,0.0374670446682201
1,3,eastness,0.1686550694532889
1,3,distance_to_coast_m,0.27132400730576034
1,4,NDVI_MAM_median,0.5826107123087183
1,4,NDBI_MAM_median,0.29632271860853304
1,4,GHSL_built_local_fraction,0.026249329246225268
1,4,elevation_m,0.8363100430263976
1,4,slope_deg,0.05429343872072402
1,4,northness,0.04160283702668328
1,4,eastness,0.17308095941485638
1,4,distance_to_coast_m,0.2666757270895077
1,5,NDVI_MAM_median,0.5693960089581179
1,5,NDBI_MAM_median,0.3176514245572678
1,5,GHSL_built_local_fraction,0.025257485404038587
1,5,elevation_m,0.8112558194823266
1,5,slope_deg,0.048315366667235765
1,5,northness,0.037131021534509076
1,5,eastness,0.17751876715627823
1,5,distance_to_coast_m,0.23539354284719885
2,1,NDVI_MAM_median,0.5501125045344796
2,1,NDBI_MAM_median,0.2762715801801551
2,1,GHSL_built_local_fraction,0.022135223187461677
2,1,elevation_m,0.7701819315161996
2,1,slope_deg,0.058781435350752705
2,1,northness,0.03411257631500589
2,1,eastness,0.1613740785773933
2,1,distance_to_coast_m,0.23873581052697057
2,2,NDVI_MAM_median,0.6140792642146982
2,2,NDBI_MAM_median,0.2929358001280357
2,2,GHSL_built_local_fraction,0.03190420175970837
2,2,elevation_m,0.7960904098319634
2,2,slope_deg,0.05500447921473866
2,2,northness,0.03703285196917949
2,2,eastness,0.1675304100853121
2,2,distance_to_coast_m,0.2472138263456801
2,3,NDVI_MAM_median,0.6242739165219796
2,3,NDBI_MAM_median,0.30708783717404725
2,3,GHSL_built_local_fraction,0.028768670405043165
2,3,elevation_m,0.814214622040611
2,3,slope_deg,0.06144788026334819
2,3,northness,0.03982482330439806
2,3,eastness,0.18040533390820737
2,3,distance_to_coast_m,0.2972781197250414
2,4,NDVI_MAM_median,0.694383543696049
2,4,NDBI_MAM_median,0.34147892419580145
2,4,GHSL_built_local_fraction,0.024299490517154295
2,4,elevation_m,0.8538282688249621
2,4,slope_deg,0.061440407658386945
2,4,northness,0.03753427597421251
2,4,eastness,0.18617671043955383
2,4,distance_to_coast_m,0.23907057369943494
2,5,NDVI_MAM_median,0.5205522773836385
2,5,NDBI_MAM_median,0.3364705672046806
2,5,GHSL_built_local_fraction,0.03307498215627912
2,5,elevation_m,0.8233397369005562
2,5,slope_deg,0.06242831112991528
2,5,northness,0.04148577968984064
2,5,eastness,0.17552890933363594
2,5,distance_to_coast_m,0.23747172312343878
3,1,NDVI_MAM_median,0.6511501778751825
3,1,NDBI_MAM_median,0.32361922031946877
3,1,GHSL_built_local_fraction,0.029513286904274422
3,1,elevation_m,0.676876573521022
3,1,slope_deg,0.05839590004506165
3,1,northness,0.03370029233521364
3,1,eastness,0.18386508376298466
3,1,distance_to_coast_m,0.278926848527739
3,2,NDVI_MAM_median,0.5205155149566694
3,2,NDBI_MAM_median,0.30279600299364967
3,2,GHSL_built_local_fraction,0.029520847653003213
3,2,elevation_m,0.8313253193210568
3,2,slope_deg,0.05594893273813956
3,2,northness,0.04250580784667606
3,2,eastness,0.16989592844759838
3,2,distance_to_coast_m,0.29302720091607093
3,3,NDVI_MAM_median,0.7111831600310259
3,3,NDBI_MAM_median,0.3080879948592104
3,3,GHSL_built_local_fraction,0.024663053956690686
3,3,elevation_m,0.8379819035540104
3,3,slope_deg,0.06870450914703181
3,3,northness,0.036664983387726884
3,3,eastness,0.1586052312621731
3,3,distance_to_coast_m,0.21548224087211454
3,4,NDVI_MAM_median,0.49473397488429915
3,4,NDBI_MAM_median,0.29803112396639003
3,4,GHSL_built_local_fraction,0.02602811057885449
3,4,elevation_m,0.9575199015957621
3,4,slope_deg,0.052305510978573194
3,4,northness,0.030757315280457255
3,4,eastness,0.1752585898558922
3,4,distance_to_coast_m,0.21790657813144051
3,5,NDVI_MAM_median,0.580473472223485
3,5,NDBI_MAM_median,0.3158782638463906
3,5,GHSL_built_local_fraction,0.029408021522301202
3,5,elevation_m,0.7673987610808972
3,5,slope_deg,0.0606306879655113
3,5,northness,0.04440314985928375
3,5,eastness,0.18268099372961208
3,5,distance_to_coast_m,0.27721326941208485
5,1,NDVI_MAM_median,0.47123962975199524
5,1,NDBI_MAM_median,0.2936859336684554
5,1,GHSL_built_local_fraction,0.02610006160053864
5,1,elevation_m,0.8991253545808499
5,1,slope_deg,0.049055426242617155
5,1,northness,0.04055899459779413
5,1,eastness,0.1446103941845066
5,1,distance_to_coast_m,0.2325147383575034
5,2,NDVI_MAM_median,0.4706023902823363
5,2,NDBI_MAM_median,0.3270302879847627
5,2,GHSL_built_local_fraction,0.02508422231663662
5,2,elevation_m,0.6303146924854365
5,2,slope_deg,0.06576510102455949
5,2,northness,0.03668140850722595
5,2,eastness,0.16996447574104778
5,2,distance_to_coast_m,0.30882123303622805
5,3,NDVI_MAM_median,0.6415456455477435
5,3,NDBI_MAM_median,0.3555435348452364
5,3,GHSL_built_local_fraction,0.04672371013227343
5,3,elevation_m,0.8106802418697735
5,3,slope_deg,0.06391537695474368
5,3,northness,0.034550095799011714
5,3,eastness,0.1406447856440855
5,3,distance_to_coast_m,0.23618651970016302
5,4,NDVI_MAM_median,0.7239133624886303
5,4,NDBI_MAM_median,0.33383745105430757
5,4,GHSL_built_local_fraction,0.01950660151975014
5,4,elevation_m,0.9401247608120977
5,4,slope_deg,0.0720391820737605
5,4,northness,0.03060187135245814
5,4,eastness,0.19482421657012802
5,4,distance_to_coast_m,0.2404915812614765
5,5,NDVI_MAM_median,0.6202346705554149
5,5,NDBI_MAM_median,0.2767392740412006
5,5,GHSL_built_local_fraction,0.02416694946322284
5,5,elevation_m,0.9366821319804896
5,5,slope_deg,0.06389187437554124
5,5,northness,0.04205529970315604
5,5,eastness,0.19790502041767336
5,5,distance_to_coast_m,0.28622012549591275
