municipality,regime_id,n,pct_within_municipality
Indanan,1,636,56.634016028495104
Indanan,2,147,13.089937666963491
Indanan,3,340,30.27604630454141
Jolo,2,31,100.0
Kalingalan Caluang,1,196,30.625000000000004
Kalingalan Caluang,2,202,31.5625
Kalingalan Caluang,3,242,37.8125
Luuk,1,63,7.325581395348838
Luuk,2,453,52.674418604651166
Luuk,3,344,40.0
Maimbung,1,13,2.6262626262626263
Maimbung,2,245,49.494949494949495
Maimbung,3,237,47.878787878787875
Old Panamao,1,58,10.13986013986014
Old Panamao,2,285,49.82517482517482
Old Panamao,3,229,40.03496503496503
Omar,1,91,14.796747967479677
Omar,2,289,46.99186991869919
Omar,3,235,38.21138211382114
Panglima Estino,1,38,10.584958217270195
Panglima Estino,2,192,53.48189415041783
Panglima Estino,3,129,35.93314763231198
Parang,1,149,19.605263157894736
Parang,2,365,48.026315789473685
Parang,3,246,32.36842105263158
Patikul,1,798,53.37792642140469
Patikul,2,362,24.214046822742475
Patikul,3,335,22.40802675585284
Talipao,1,595,31.903485254691688
Talipao,2,619,33.19034852546917
Talipao,3,651,34.90616621983914
