season,fold,predictor,spearman_feature_SHAP
MAM,1,NDVI,-0.9684918389194528
MAM,1,NDBI,0.9586152159866634
MAM,1,GHSL_built_fraction_30m_corrected,0.29469578169184557
MAM,1,elevation_m,-0.9770444313233082
MAM,1,slope_deg,-0.2974906899227747
MAM,1,northness,-0.7635193947412647
MAM,1,eastness,0.9221848029247213
MAM,1,distance_to_coast_m,-0.7664123460727987
MAM,2,NDVI,-0.9776697739035685
MAM,2,NDBI,0.9432698873852945
MAM,2,GHSL_built_fraction_30m_corrected,0.2979744237436426
MAM,2,elevation_m,-0.9676009537673123
MAM,2,slope_deg,-0.15234295291899153
MAM,2,northness,-0.632991975759186
MAM,2,eastness,0.9362264498862521
MAM,2,distance_to_coast_m,-0.6466177022930094
MAM,3,NDVI,-0.9419352030726429
MAM,3,NDBI,0.9595919475771083
MAM,3,GHSL_built_fraction_30m_corrected,0.3700492444408103
MAM,3,elevation_m,-0.9390304165779751
MAM,3,slope_deg,-0.40937586457589137
MAM,3,northness,-0.437598671353556
MAM,3,eastness,0.9000192349211527
MAM,3,distance_to_coast_m,-0.8259019068308155
MAM,4,NDVI,-0.9683083624347346
MAM,4,NDBI,0.9686695150425213
MAM,4,GHSL_built_fraction_30m_corrected,0.31185785267263794
MAM,4,elevation_m,-0.972924666975719
MAM,4,slope_deg,-0.549048239327397
MAM,4,northness,-0.5209948094689586
MAM,4,eastness,0.9125350781507703
MAM,4,distance_to_coast_m,-0.7345292967534957
MAM,5,NDVI,-0.9602381868225182
MAM,5,NDBI,0.947045042415343
MAM,5,GHSL_built_fraction_30m_corrected,0.35355184352633257
MAM,5,elevation_m,-0.9334723871767621
MAM,5,slope_deg,-0.10050288436455114
MAM,5,northness,0.07446005598434588
MAM,5,eastness,0.9490791678206535
MAM,5,distance_to_coast_m,-0.7431028684442295
JJA,1,NDVI,-0.8505564259198417
JJA,1,NDBI,0.8716371434340008
JJA,1,GHSL_built_fraction_30m_corrected,0.3809467594268801
JJA,1,elevation_m,-0.9772104464047793
JJA,1,slope_deg,-0.6160842100926176
JJA,1,northness,0.872014052957395
JJA,1,eastness,0.864804369582457
JJA,1,distance_to_coast_m,-0.6564685985545219
JJA,2,NDVI,-0.7231293878063096
JJA,2,NDBI,0.825720792498865
JJA,2,GHSL_built_fraction_30m_corrected,0.3482424814399655
JJA,2,elevation_m,-0.9698687200682327
JJA,2,slope_deg,-0.3028888996648815
JJA,2,northness,0.8686675372179495
JJA,2,eastness,0.8689907722569982
JJA,2,distance_to_coast_m,-0.7810530860575274
JJA,3,NDVI,-0.7868545286673801
JJA,3,NDBI,0.8037581167680808
JJA,3,GHSL_built_fraction_30m_corrected,0.38693260216809283
JJA,3,elevation_m,-0.9843585021241894
JJA,3,slope_deg,-0.2873778368157875
JJA,3,northness,0.8364885776796573
JJA,3,eastness,0.8989333902636478
JJA,3,distance_to_coast_m,-0.7359486451590155
JJA,4,NDVI,-0.7789682774272714
JJA,4,NDBI,0.8136621965548343
JJA,4,GHSL_built_fraction_30m_corrected,0.27223679623308955
JJA,4,elevation_m,-0.9860234841315366
JJA,4,slope_deg,-0.5203886113322397
JJA,4,northness,0.7091514263738854
JJA,4,eastness,0.8959842738391701
JJA,4,distance_to_coast_m,-0.3172155295082806
JJA,5,NDVI,-0.6062395430905012
JJA,5,NDBI,0.7283159544269928
JJA,5,GHSL_built_fraction_30m_corrected,0.17082284421924832
JJA,5,elevation_m,-0.9850318181287585
JJA,5,slope_deg,-0.6429272110984655
JJA,5,northness,0.8712584975914892
JJA,5,eastness,0.8917757471535493
JJA,5,distance_to_coast_m,-0.8058078627165187
DJF,1,NDVI,-0.9751175408549383
DJF,1,NDBI,0.7779217202084281
DJF,1,GHSL_built_fraction_30m_corrected,0.27207896254941477
DJF,1,elevation_m,-0.9710011571238036
DJF,1,slope_deg,-0.1966370793714709
DJF,1,northness,-0.9294763753159055
DJF,1,eastness,0.9457374552921787
DJF,1,distance_to_coast_m,-0.7811672023731053
DJF,2,NDVI,-0.9787589295580679
DJF,2,NDBI,0.8499432794354914
DJF,2,GHSL_built_fraction_30m_corrected,0.34252083522396853
DJF,2,elevation_m,-0.9715753135925336
DJF,2,slope_deg,-0.5022229757340608
DJF,2,northness,-0.9224618904801853
DJF,2,eastness,0.9270162764891177
DJF,2,distance_to_coast_m,-0.5087073454798995
DJF,3,NDVI,-0.9755002893045913
DJF,3,NDBI,0.816203924278477
DJF,3,GHSL_built_fraction_30m_corrected,0.2891773236199131
DJF,3,elevation_m,-0.9750719945605845
DJF,3,slope_deg,-0.3842271144268469
DJF,3,northness,-0.9166528542472131
DJF,3,eastness,0.9415364353156689
DJF,3,distance_to_coast_m,-0.7649403056971976
DJF,4,NDVI,-0.9646924321467762
DJF,4,NDBI,0.7829507688759769
DJF,4,GHSL_built_fraction_30m_corrected,0.1862337787189221
DJF,4,elevation_m,-0.9904659005938028
DJF,4,slope_deg,-0.4742300382141065
DJF,4,northness,-0.9159132136284975
DJF,4,eastness,0.9264945321434345
DJF,4,distance_to_coast_m,-0.6919457555353435
DJF,5,NDVI,-0.9720319471063161
DJF,5,NDBI,0.6810086049341346
DJF,5,GHSL_built_fraction_30m_corrected,0.1276160775204668
DJF,5,elevation_m,-0.9793272031730141
DJF,5,slope_deg,-0.26109865021573003
DJF,5,northness,-0.8957591105510028
DJF,5,eastness,0.935605276088876
DJF,5,distance_to_coast_m,-0.8158565662099212
