season,fold,predictor,mean_abs_SHAP
MAM,1,NDVI,0.6022918126019609
MAM,1,NDBI,0.2875748334149102
MAM,1,GHSL_built_fraction_30m_corrected,0.02090263552058965
MAM,1,elevation_m,0.87975048440732
MAM,1,slope_deg,0.050645185080268405
MAM,1,northness,0.04749929501773041
MAM,1,eastness,0.16982229786755557
MAM,1,distance_to_coast_m,0.23385651777774422
MAM,2,NDVI,0.6184790049354433
MAM,2,NDBI,0.29571869432777786
MAM,2,GHSL_built_fraction_30m_corrected,0.02687032271113258
MAM,2,elevation_m,0.7531726373115971
MAM,2,slope_deg,0.054445939389369494
MAM,2,northness,0.04997129306827877
MAM,2,eastness,0.1803590974766658
MAM,2,distance_to_coast_m,0.28075066423032036
MAM,3,NDVI,0.7285331422012364
MAM,3,NDBI,0.31017322587257756
MAM,3,GHSL_built_fraction_30m_corrected,0.030966733367959402
MAM,3,elevation_m,0.6450200399415533
MAM,3,slope_deg,0.06879621668544834
MAM,3,northness,0.04189296572698654
MAM,3,eastness,0.15709493065608096
MAM,3,distance_to_coast_m,0.29195594260873664
MAM,4,NDVI,0.6552626709880935
MAM,4,NDBI,0.35666871889592144
MAM,4,GHSL_built_fraction_30m_corrected,0.023330572678362048
MAM,4,elevation_m,0.81091627333487
MAM,4,slope_deg,0.058639856040930895
MAM,4,northness,0.04408766387437609
MAM,4,eastness,0.17705415348921
MAM,4,distance_to_coast_m,0.27114909579994284
MAM,5,NDVI,0.5483175227849515
MAM,5,NDBI,0.31648205422250447
MAM,5,GHSL_built_fraction_30m_corrected,0.030661721415459763
MAM,5,elevation_m,0.978994941145117
MAM,5,slope_deg,0.050271954955869454
MAM,5,northness,0.031285852940009636
MAM,5,eastness,0.18177164903588533
MAM,5,distance_to_coast_m,0.28181321853840635
JJA,1,NDVI,0.14805531896194113
JJA,1,NDBI,0.31885325116678664
JJA,1,GHSL_built_fraction_30m_corrected,0.043169551623649674
JJA,1,elevation_m,0.771226751065443
JJA,1,slope_deg,0.07241365604191934
JJA,1,northness,0.09342832921867517
JJA,1,eastness,0.12679346473508374
JJA,1,distance_to_coast_m,0.22387530000859115
JJA,2,NDVI,0.13216583559244394
JJA,2,NDBI,0.2733409240857401
JJA,2,GHSL_built_fraction_30m_corrected,0.035131205757145706
JJA,2,elevation_m,0.7832664238643793
JJA,2,slope_deg,0.0725008358344161
JJA,2,northness,0.08881947825900297
JJA,2,eastness,0.12439646029008193
JJA,2,distance_to_coast_m,0.35061735260858873
JJA,3,NDVI,0.19591988056578494
JJA,3,NDBI,0.3039119996473743
JJA,3,GHSL_built_fraction_30m_corrected,0.037717980531666494
JJA,3,elevation_m,0.9121900603692351
JJA,3,slope_deg,0.06805879358175147
JJA,3,northness,0.09256970313433292
JJA,3,eastness,0.11840496797026015
JJA,3,distance_to_coast_m,0.23509730648961957
JJA,4,NDVI,0.14388056320884998
JJA,4,NDBI,0.2745280435328319
JJA,4,GHSL_built_fraction_30m_corrected,0.032982861948010984
JJA,4,elevation_m,0.8502265389534304
JJA,4,slope_deg,0.05088193599239606
JJA,4,northness,0.07632372429708008
JJA,4,eastness,0.11074802555064554
JJA,4,distance_to_coast_m,0.22457034867409192
JJA,5,NDVI,0.1658794409981915
JJA,5,NDBI,0.27841380589631964
JJA,5,GHSL_built_fraction_30m_corrected,0.025434600840300584
JJA,5,elevation_m,1.0155349198677142
JJA,5,slope_deg,0.07049800721636706
JJA,5,northness,0.09649811666278703
JJA,5,eastness,0.12958594972780568
JJA,5,distance_to_coast_m,0.3042974215235424
DJF,1,NDVI,0.37197324628564166
DJF,1,NDBI,0.24249028817105656
DJF,1,GHSL_built_fraction_30m_corrected,0.021934080877937065
DJF,1,elevation_m,0.7725035050221895
DJF,1,slope_deg,0.039699756281186487
DJF,1,northness,0.17435357391148534
DJF,1,eastness,0.13247566899558944
DJF,1,distance_to_coast_m,0.25259009320286663
DJF,2,NDVI,0.37974469209567724
DJF,2,NDBI,0.20771198392597137
DJF,2,GHSL_built_fraction_30m_corrected,0.021780539860922075
DJF,2,elevation_m,0.6904160079401781
DJF,2,slope_deg,0.056896877595924926
DJF,2,northness,0.15831589996310705
DJF,2,eastness,0.15089792618210993
DJF,2,distance_to_coast_m,0.15484374702716228
DJF,3,NDVI,0.4137149185980951
DJF,3,NDBI,0.1806550571207691
DJF,3,GHSL_built_fraction_30m_corrected,0.021741956584641835
DJF,3,elevation_m,0.7246234534248741
DJF,3,slope_deg,0.05552402684569618
DJF,3,northness,0.19553708526416597
DJF,3,eastness,0.14549287816942247
DJF,3,distance_to_coast_m,0.1999019611549221
DJF,4,NDVI,0.3557740282855419
DJF,4,NDBI,0.2442359673861579
DJF,4,GHSL_built_fraction_30m_corrected,0.01177127066187461
DJF,4,elevation_m,0.972142254720749
DJF,4,slope_deg,0.049803884035613824
DJF,4,northness,0.21834648232945103
DJF,4,eastness,0.15153845291001708
DJF,4,distance_to_coast_m,0.1565391475288721
DJF,5,NDVI,0.4523691109916436
DJF,5,NDBI,0.21473788224257587
DJF,5,GHSL_built_fraction_30m_corrected,0.0215414778990752
DJF,5,elevation_m,0.7411942013876988
DJF,5,slope_deg,0.04383241098797675
DJF,5,northness,0.18294007558611297
DJF,5,eastness,0.15657820717109214
DJF,5,distance_to_coast_m,0.21126677147006465
