season,predictor,mean_rank,sd_rank,median_direction_rho,direction_same_sign_fraction
DJF,GHSL_built_fraction_30m_corrected,8.0,0.0,0.27207896254941477,1.0
DJF,NDBI,3.6,0.8944271909999159,0.7829507688759769,1.0
DJF,NDVI,2.0,0.0,-0.9751175408549383,1.0
DJF,distance_to_coast_m,4.0,1.0,-0.7649403056971976,1.0
DJF,eastness,6.0,0.0,0.935605276088876,1.0
DJF,elevation_m,1.0,0.0,-0.9750719945605845,1.0
DJF,northness,4.4,0.5477225575051661,-0.9166528542472131,1.0
DJF,slope_deg,7.0,0.0,-0.3842271144268469,1.0
JJA,GHSL_built_fraction_30m_corrected,8.0,0.0,0.3482424814399655,1.0
JJA,NDBI,2.4,0.5477225575051661,0.8136621965548343,1.0
JJA,NDVI,4.0,0.0,-0.7789682774272714,1.0
JJA,distance_to_coast_m,2.6,0.5477225575051661,-0.7359486451590155,1.0
JJA,eastness,5.0,0.0,0.8917757471535493,1.0
JJA,elevation_m,1.0,0.0,-0.9843585021241894,1.0
JJA,northness,6.0,0.0,0.8686675372179495,1.0
JJA,slope_deg,7.0,0.0,-0.5203886113322397,1.0
MAM,GHSL_built_fraction_30m_corrected,8.0,0.0,0.31185785267263794,1.0
MAM,NDBI,3.0,0.0,0.9586152159866634,1.0
MAM,NDVI,1.8,0.4472135954999579,-0.9683083624347346,1.0
MAM,distance_to_coast_m,4.0,0.0,-0.7431028684442295,1.0
MAM,eastness,5.0,0.0,0.9221848029247213,1.0
MAM,elevation_m,1.2,0.4472135954999579,-0.9676009537673123,1.0
MAM,northness,7.0,0.0,-0.5209948094689586,0.8
MAM,slope_deg,6.0,0.0,-0.2974906899227747,1.0
